method,pair_id,transform,transform_type,detected_original,detected_transformed,spatial_positive_pairs,detector_repeatability_original,detector_repeatability_symmetric,positive_descriptor_distance,nearest_spatial_negative_distance,descriptor_margin,ratio_matches,ratio_pass_rate,bidirectional_matches,bidirectional_pass_rate,ransac_inliers,ransac_inlier_rate,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,outer_border_original,outer_border_repeated,outer_border_repeatability
G0,01_r_t,identity,identity,462,462,462,1.0,1.0,0.0,1.1655544873439905,1.1655544873439905,462,1.0,462,1.0,462,1.0,48,0.75,0.590732703475436,0,0,0.0
G0,01_r_t,gamma_075,gamma,462,464,426,0.922077922077922,0.9200863930885529,0.08728292214076423,1.1656664099211984,1.0783834877804341,447,0.9675324675324676,447,1.0,408,0.912751677852349,47,0.734375,0.5843869593271627,0,0,0.0
G0,01_r_t,gamma_135,gamma,462,471,429,0.9285714285714286,0.9196141479099679,0.08881660056732474,1.1655463706919085,1.0767297701245837,454,0.9826839826839827,454,1.0,410,0.9030837004405287,47,0.734375,0.579985880577311,0,0,0.0
G0,01_r_t,darker_contrast,brightness_contrast,462,470,431,0.9329004329004329,0.924892703862661,0.07487720902360924,1.1646720782233502,1.089794869199741,452,0.9783549783549783,452,1.0,419,0.9269911504424779,47,0.734375,0.5737355097454611,0,0,0.0
G0,01_r_t,gaussian_blur_12,gaussian_blur,462,463,438,0.948051948051948,0.947027027027027,0.061258926970637555,1.1641441636706051,1.1028852366999675,455,0.9848484848484849,455,1.0,425,0.9340659340659341,48,0.75,0.5875484167334164,0,0,0.0
G0,01_r_t,local_contrast_clahe,clahe,462,512,385,0.8333333333333334,0.7905544147843943,0.21889772254538226,1.1626840735410715,0.9437863509956892,443,0.9588744588744589,443,1.0,356,0.8036117381489842,48,0.75,0.584146034509612,0,0,0.0
G0,01_r_t,low_frequency_shading,low_frequency_shading,462,458,407,0.8809523809523809,0.8847826086956522,0.09616968894253784,1.1664626511953387,1.0702929622528008,439,0.9502164502164502,439,1.0,395,0.8997722095671982,48,0.75,0.5852897031120209,0,0,0.0
G0,10_r_t,identity,identity,341,341,341,1.0,1.0,0.0,1.1672951079184009,1.1672951079184009,341,1.0,341,1.0,341,1.0,39,0.609375,0.41648280767746915,0,0,0.0
G0,10_r_t,gamma_075,gamma,341,341,309,0.906158357771261,0.906158357771261,0.08822822773340837,1.1686997620033215,1.0804715342699132,325,0.9530791788856305,325,1.0,295,0.9076923076923077,38,0.59375,0.41212522683756286,0,0,0.0
G0,10_r_t,gamma_135,gamma,341,321,286,0.8387096774193549,0.8640483383685801,0.1105334522866911,1.1709884394715715,1.0604549871848803,314,0.9208211143695014,312,0.9936305732484076,265,0.8493589743589743,38,0.59375,0.40784902620598995,0,0,0.0
G0,10_r_t,darker_contrast,brightness_contrast,341,330,286,0.8387096774193549,0.8524590163934426,0.10073042799021814,1.1685357848247448,1.0678053568345267,319,0.9354838709677419,317,0.9937304075235109,275,0.8675078864353313,34,0.53125,0.38184665423525377,0,0,0.0
G0,10_r_t,gaussian_blur_12,gaussian_blur,341,339,318,0.9325513196480938,0.9352941176470588,0.05970243679113545,1.1678707622132212,1.1081683254220858,332,0.9736070381231672,332,1.0,310,0.9337349397590361,39,0.609375,0.41427158797010744,0,0,0.0
G0,10_r_t,local_contrast_clahe,clahe,341,365,280,0.8211143695014663,0.7932011331444759,0.21184983934674945,1.1648696469409126,0.9530198075941632,324,0.9501466275659824,323,0.9969135802469136,257,0.7956656346749226,38,0.59375,0.41438768593535663,0,0,0.0
G0,10_r_t,low_frequency_shading,low_frequency_shading,341,345,323,0.9472140762463344,0.9416909620991254,0.07301074658569537,1.1674725001810504,1.0944617535953551,334,0.9794721407624634,334,1.0,313,0.937125748502994,39,0.609375,0.4161863113354481,0,0,0.0
G0,20_r_t,identity,identity,600,600,600,1.0,1.0,0.0,0.9999592839678129,0.9999592839678129,600,1.0,600,1.0,600,1.0,61,0.953125,0.8222780571752294,19,19,1.0
G0,20_r_t,gamma_075,gamma,600,592,533,0.8883333333333333,0.8942953020134228,0.1280055499336845,0.9981238096113724,0.8701182596776879,556,0.9266666666666666,556,1.0,514,0.9244604316546763,61,0.953125,0.7972842701313139,19,15,0.7894736842105263
G0,20_r_t,gamma_135,gamma,600,577,513,0.855,0.8717077315208156,0.1516903250552641,0.9998819736244619,0.8481916485691977,590,0.9833333333333333,543,0.9203389830508475,496,0.9134438305709024,61,0.953125,0.8166449769920207,19,15,0.7894736842105263
G0,20_r_t,darker_contrast,brightness_contrast,600,598,538,0.8966666666666666,0.8981636060100167,0.12675969316849145,0.9999352147366478,0.8731755215681564,594,0.99,562,0.9461279461279462,527,0.9377224199288257,61,0.953125,0.8222780571752294,19,17,0.8947368421052632
