epoch,avg_learned_keypoints,dense_calls,dense_loss,dense_negative_distance,dense_occupied_cells_per_call,dense_positive_distance,dense_sampled_points_per_call,dense_valid_pairs_per_call,descriptor_loss,detector_loss,overall_loss
0,0.09375,64.0,1.023916,0.086783,250.796875,0.911829,487.171875,487.171875,2.1690828800201416,1.1588460206985474,3.3279290199279785
1,0.0,64.0,0.822615,0.27366,252.578125,0.895132,493.984375,493.984375,2.155914545059204,1.0338729619979858,3.1897873878479004
2,0.0,64.0,0.400068,0.478603,250.578125,0.668472,488.640625,488.640625,1.552530288696289,1.027390718460083,2.579921007156372
3,0.0,64.0,0.263936,0.60124,251.25,0.639154,489.15625,489.15625,1.3637694120407104,1.0115903615951538,2.3753597736358643
4,0.0,64.0,0.239945,0.666172,251.5625,0.671928,490.453125,490.453125,1.2545957565307617,0.9802885055541992,2.234884262084961
5,0.90625,64.0,0.188129,0.773912,251.625,0.705886,491.265625,491.265625,1.0946727991104126,0.936108410358429,2.0307812690734863
6,4.65234375,64.0,0.148311,0.866227,251.84375,0.737549,491.796875,491.796875,0.9339062571525574,0.8558946251869202,1.7898008823394775
7,6.734375,64.0,0.128451,0.919693,250.515625,0.759474,487.140625,487.140625,0.8278571367263794,0.8234935998916626,1.651350736618042
8,10.07421875,64.0,0.107587,0.954016,251.484375,0.758582,490.8125,490.8125,0.7591074109077454,0.8075314164161682,1.5666388273239136
9,11.05859375,64.0,0.089962,0.977231,251.25,0.753783,489.8125,489.8125,0.6940586566925049,0.784628689289093,1.4786872863769531
10,12.79296875,64.0,0.077835,0.989769,251.84375,0.742619,491.859375,491.859375,0.6222821474075317,0.7714729905128479,1.3937551975250244
11,13.8671875,64.0,0.069253,0.996026,251.171875,0.735199,489.921875,489.921875,0.5742549300193787,0.7560631036758423,1.3303179740905762
12,14.83984375,64.0,0.061787,0.99614,251.0,0.715271,489.375,489.375,0.5602025985717773,0.7644740343093872,1.3246766328811646
13,17.0390625,64.0,0.052904,1.007026,251.0625,0.708688,490.03125,490.03125,0.5313584208488464,0.7487516403198242,1.2801101207733154
14,19.0078125,64.0,0.048723,1.007386,251.671875,0.6967,490.515625,490.515625,0.5308433175086975,0.7307438254356384,1.261587142944336
15,16.30859375,64.0,0.044274,1.010798,251.28125,0.685568,489.40625,489.40625,0.4943678081035614,0.7407602071762085,1.2351280450820923
16,17.15625,64.0,0.0394,1.014934,251.796875,0.674992,492.09375,492.09375,0.4778338670730591,0.7272816896438599,1.205115556716919
17,17.3984375,64.0,0.032419,1.021546,251.265625,0.661743,490.234375,490.234375,0.4632208049297333,0.7327238917350769,1.1959446668624878
18,17.6875,64.0,0.031176,1.023009,250.96875,0.657035,488.765625,488.765625,0.4388332664966583,0.7377458214759827,1.1765791177749634
19,19.296875,64.0,0.02804,1.020332,250.6875,0.641607,488.5625,488.5625,0.41480752825737,0.7236018776893616,1.1384093761444092
20,19.54296875,64.0,0.02428,1.028184,250.78125,0.633129,487.296875,487.296875,0.40700075030326843,0.7055941224098206,1.1125948429107666
21,19.63671875,64.0,0.024298,1.02822,251.0625,0.629895,488.40625,488.40625,0.38658925890922546,0.7142186760902405,1.1008079051971436
22,20.265625,64.0,0.021439,1.0331,251.015625,0.621498,489.171875,489.171875,0.38927605748176575,0.7160863280296326,1.1053624153137207
23,21.953125,64.0,0.020642,1.028585,251.921875,0.613692,490.375,490.375,0.36420026421546936,0.7111222743988037,1.0753225088119507
24,19.97265625,64.0,0.01855,1.042559,251.171875,0.604956,489.65625,489.65625,0.3665946424007416,0.7055985331535339,1.0721931457519531
25,22.13671875,64.0,0.017158,1.049186,251.46875,0.60612,490.921875,490.921875,0.35979795455932617,0.713748037815094,1.0735459327697754
26,21.81640625,64.0,0.016717,1.045621,250.984375,0.596925,488.140625,488.140625,0.34816595911979675,0.7111631631851196,1.0593291521072388
27,25.984375,64.0,0.0161,1.042333,251.390625,0.587384,489.96875,489.96875,0.32677626609802246,0.6970446705818176,1.0238208770751953
28,24.72265625,64.0,0.014108,1.05145,251.34375,0.576459,491.734375,491.734375,0.3231598734855652,0.6923537254333496,1.0155136585235596
29,25.5859375,64.0,0.015385,1.042379,250.671875,0.583156,486.859375,486.859375,0.30605098605155945,0.6986672282218933,1.0047181844711304
30,27.2734375,64.0,0.012232,1.051867,251.1875,0.569884,490.734375,490.734375,0.31493428349494934,0.6919366717338562,1.006870985031128
31,28.3125,64.0,0.012901,1.050757,250.6875,0.56665,488.65625,488.65625,0.2945352792739868,0.6878899931907654,0.9824252724647522
32,28.40234375,64.0,0.012485,1.058443,251.375,0.567097,490.125,490.125,0.30256593227386475,0.670492947101593,0.9730588793754578
33,28.30859375,64.0,0.011435,1.04745,251.265625,0.55292,490.140625,490.140625,0.2862498164176941,0.6901461482048035,0.9763959646224976
34,29.9609375,64.0,0.010371,1.061209,251.84375,0.55239,491.421875,491.421875,0.2790185511112213,0.685232400894165,0.964250922203064
35,32.609375,64.0,0.01106,1.059466,250.921875,0.550256,489.359375,489.359375,0.28175660967826843,0.6818397045135498,0.9635963439941406
36,30.75,64.0,0.011536,1.062311,251.0,0.550803,489.234375,489.234375,0.2726278603076935,0.6710337400436401,0.9436615705490112
37,30.42578125,64.0,0.010677,1.056209,251.15625,0.548835,489.359375,489.359375,0.265560120344162,0.6848249435424805,0.9503850936889648
38,30.39453125,64.0,0.008988,1.063388,251.96875,0.54012,490.734375,490.734375,0.2772441506385803,0.6836252808570862,0.9608694314956665
39,30.73828125,64.0,0.009014,1.059585,251.859375,0.540332,490.875,490.875,0.25652024149894714,0.6732834577560425,0.929803729057312
40,31.078125,64.0,0.008611,1.062098,251.796875,0.536881,491.09375,491.09375,0.2651689946651459,0.6730850338935852,0.9382539987564087
41,32.9765625,64.0,0.008465,1.064275,250.984375,0.534507,488.453125,488.453125,0.24572603404521942,0.6671282649040222,0.9128543138504028
42,33.0546875,64.0,0.008227,1.069012,251.453125,0.527742,489.453125,489.453125,0.24812163412570953,0.6790245771408081,0.9271461963653564
43,34.3359375,64.0,0.01135,1.065844,251.21875,0.536619,490.359375,490.359375,0.25939902663230896,0.669737696647644,0.9291367530822754
44,36.046875,64.0,0.007074,1.081717,252.34375,0.526827,493.9375,493.9375,0.2535091042518616,0.6662060022354126,0.9197151064872742
45,34.42578125,64.0,0.007338,1.068954,251.375,0.519529,490.5625,490.5625,0.2336357831954956,0.6691161394119263,0.9027519226074219
