pair_id,seed_label,match_index,is_first_stage_inlier,distance,query_x,query_y,refer_x,refer_y,query_grid_row,query_grid_col
control_points_35_r_t,G3_3407,0,0,1.0206135511398315,1218.0,324.0,1248.0,135.0,0,1
control_points_35_r_t,G3_3407,1,0,1.048109531402588,1201.0,362.0,1215.0,180.0,0,1
control_points_35_r_t,G3_3407,2,0,0.999755322933197,867.0,398.0,783.0,224.0,0,1
control_points_35_r_t,G3_3407,3,0,0.9612064957618713,918.0,423.0,853.0,247.0,0,1
control_points_35_r_t,G3_3407,4,0,0.9632757902145386,884.0,468.0,803.0,299.0,1,1
control_points_35_r_t,G3_3407,5,1,0.9618295431137085,1495.0,486.0,1613.0,357.0,1,2
control_points_35_r_t,G3_3407,6,0,1.0149860382080078,867.0,510.0,769.0,369.0,1,1
control_points_35_r_t,G3_3407,7,1,0.9622668623924255,1417.0,544.0,1515.0,427.0,1,2
control_points_35_r_t,G3_3407,8,1,1.0386037826538086,1410.0,654.0,1495.0,580.0,1,2
control_points_35_r_t,G3_3407,9,1,1.041757345199585,1485.0,776.0,1613.0,753.0,1,2
control_points_35_r_t,G3_3407,10,1,1.0744926929473877,1512.0,978.0,1620.0,1023.0,2,2
control_points_35_r_t,G3_3407,11,1,0.8822383284568787,1647.0,1068.0,1798.0,1147.0,2,2
control_points_35_r_t,G3_3407,12,1,1.0082452297210693,1414.0,1266.0,1495.0,1415.0,2,2
control_points_35_r_t,G3_3407,13,1,1.033703327178955,1437.0,1314.0,1518.0,1471.0,3,2
control_points_35_r_t,G3_3407,14,1,0.9072623252868652,1501.0,1320.0,1606.0,1478.0,3,2
control_points_35_r_t,G3_3407,15,1,0.9793779253959656,1434.0,1399.0,1518.0,1579.0,3,2
control_points_39_r_t,G3_3407,0,1,0.9889166355133057,1117.0,382.0,1177.0,251.0,0,1
control_points_39_r_t,G3_3407,1,1,1.0249470472335815,816.0,391.0,783.0,224.0,0,1
control_points_39_r_t,G3_3407,2,1,0.950864851474762,1356.0,445.0,1512.0,369.0,1,2
control_points_39_r_t,G3_3407,3,1,0.9400230646133423,1518.0,562.0,1711.0,551.0,1,2
control_points_39_r_t,G3_3407,4,1,0.9558988809585571,1410.0,614.0,1576.0,609.0,1,2
control_points_39_r_t,G3_3407,5,1,0.9237334728240967,519.0,850.0,310.0,810.0,1,0
control_points_39_r_t,G3_3407,6,1,0.9975908398628235,1339.0,949.0,1410.0,1057.0,2,2
control_points_39_r_t,G3_3407,7,1,0.9619944095611572,1657.0,1044.0,1846.0,1230.0,2,2
control_points_39_r_t,G3_3407,8,1,1.0577762126922607,1424.0,1095.0,1522.0,1273.0,2,2
control_points_39_r_t,G3_3407,9,1,0.8773622512817383,1380.0,1134.0,1458.0,1320.0,2,2
control_points_39_r_t,G3_3407,10,1,0.9856876134872437,783.0,1136.0,648.0,1242.0,2,1
control_points_39_r_t,G3_3407,11,1,1.011909008026123,1501.0,1149.0,1623.0,1347.0,2,2
control_points_39_r_t,G3_3407,12,1,0.9863525629043579,1282.0,1183.0,1312.0,1372.0,2,1
control_points_39_r_t,G3_3407,13,1,0.9483911395072937,1410.0,1206.0,1495.0,1415.0,2,2
control_points_39_r_t,G3_3407,14,1,0.8997905254364014,1464.0,1210.0,1562.0,1431.0,2,2
control_points_39_r_t,G3_3407,15,1,0.9906113147735596,1501.0,1244.0,1606.0,1478.0,2,2
control_points_39_r_t,G3_3407,16,1,0.9361526966094971,1431.0,1248.0,1518.0,1471.0,2,2
control_points_40_r_t,G3_3407,0,1,1.0376437902450562,1852.0,747.0,2014.0,571.0,1,2
control_points_40_r_t,G3_3407,1,1,0.9621561765670776,1549.0,825.0,1623.0,686.0,1,2
control_points_40_r_t,G3_3407,2,1,1.0279735326766968,1528.0,864.0,1593.0,742.0,2,2
control_points_40_r_t,G3_3407,3,1,0.9535370469093323,850.0,1041.0,668.0,1005.0,2,1
control_points_40_r_t,G3_3407,4,1,0.9976666569709778,1235.0,1055.0,1201.0,1017.0,2,1
control_points_40_r_t,G3_3407,5,1,1.059651255607605,837.0,1075.0,637.0,1059.0,2,1
control_points_40_r_t,G3_3407,6,1,0.9802039265632629,1056.0,1206.0,948.0,1233.0,2,1
control_points_40_r_t,G3_3407,7,1,0.9733288288116455,1336.0,1278.0,1333.0,1334.0,2,2
control_points_40_r_t,G3_3407,8,1,0.9540134072303772,1407.0,1284.0,1434.0,1325.0,2,2
control_points_40_r_t,G3_3407,9,1,1.0836596488952637,1508.0,1309.0,1562.0,1356.0,3,2
control_points_40_r_t,G3_3407,10,1,0.9549533724784851,1451.0,1316.0,1488.0,1365.0,3,2
control_points_40_r_t,G3_3407,11,1,0.9332877397537231,1215.0,1329.0,1164.0,1401.0,3,1
control_points_40_r_t,G3_3407,12,1,0.947868824005127,1346.0,1422.0,1339.0,1509.0,3,2
control_points_40_r_t,G3_3407,13,1,1.0306650400161743,1373.0,1453.0,1387.0,1563.0,3,2
