method,pair_id,stage,count,ratio_mean,ratio_p90
baseline,control_points_39_r_t,all,280,0.9582887887954712,0.9966776847839356
baseline,control_points_39_r_t,ratio,29,0.850753903388977,0.8904600739479065
baseline,control_points_39_r_t,mutual_ratio,28,0.8493745923042297,0.8905409574508667
baseline,control_points_40_r_t,all,288,0.9629961848258972,0.997110778093338
baseline,control_points_40_r_t,ratio,25,0.8487136363983154,0.8956546306610107
baseline,control_points_40_r_t,mutual_ratio,25,0.8487136363983154,0.8956546306610107
baseline,control_points_39_r_t,all,280,0.9582887887954712,0.9966776847839356
baseline,control_points_39_r_t,ratio,29,0.850753903388977,0.8904600739479065
baseline,control_points_39_r_t,mutual_ratio,28,0.8493745923042297,0.8905409574508667
baseline,control_points_40_r_t,all,288,0.9629961848258972,0.997110778093338
baseline,control_points_40_r_t,ratio,25,0.8487136363983154,0.8956546306610107
baseline,control_points_40_r_t,mutual_ratio,25,0.8487136363983154,0.8956546306610107
G0,control_points_39_r_t,all,318,0.9596484899520874,0.9963373899459839
G0,control_points_39_r_t,ratio,34,0.8365603089332581,0.8856240212917328
G0,control_points_39_r_t,mutual_ratio,33,0.835406482219696,0.8857004046440125
G0,control_points_40_r_t,all,320,0.965877890586853,0.9971289932727814
G0,control_points_40_r_t,ratio,24,0.8555513024330139,0.8967278897762299
G0,control_points_40_r_t,mutual_ratio,24,0.8555513024330139,0.8967278897762299
G0,control_points_39_r_t,all,318,0.9596484899520874,0.9963373899459839
G0,control_points_39_r_t,ratio,34,0.8365603089332581,0.8856240212917328
G0,control_points_39_r_t,mutual_ratio,33,0.835406482219696,0.8857004046440125
G0,control_points_40_r_t,all,320,0.965877890586853,0.9971289932727814
G0,control_points_40_r_t,ratio,24,0.8555513024330139,0.8967278897762299
G0,control_points_40_r_t,mutual_ratio,24,0.8555513024330139,0.8967278897762299
G1_main,control_points_39_r_t,all,396,0.9611563086509705,0.9952143430709839
G1_main,control_points_39_r_t,ratio,36,0.8484152555465698,0.8938438296318054
G1_main,control_points_39_r_t,mutual_ratio,36,0.8484152555465698,0.8938438296318054
G1_main,control_points_40_r_t,all,393,0.9683083295822144,0.9970975875854492
G1_main,control_points_40_r_t,ratio,19,0.8608344197273254,0.8952983975410461
G1_main,control_points_40_r_t,mutual_ratio,19,0.8608344197273254,0.8952983975410461
G1_main,control_points_39_r_t,all,396,0.9611563086509705,0.9952143430709839
G1_main,control_points_39_r_t,ratio,36,0.8484152555465698,0.8938438296318054
G1_main,control_points_39_r_t,mutual_ratio,36,0.8484152555465698,0.8938438296318054
G1_main,control_points_40_r_t,all,393,0.9683083295822144,0.9970975875854492
G1_main,control_points_40_r_t,ratio,19,0.8608344197273254,0.8952983975410461
G1_main,control_points_40_r_t,mutual_ratio,19,0.8608344197273254,0.8952983975410461
