pair_id,baseline__detected_query_keypoints,baseline__detected_refer_keypoints,baseline__ratio_matches,baseline__inverse_consistency_matches,baseline__outlier_filter_matches,baseline__matches_after_consistency,baseline__geometry_inliers,baseline__geometry_inlier_rate,baseline__average_control_point_error,baseline__registration_success,baseline__failure_reason,baseline__query_grid_coverage,baseline__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_01_r_t,406,377,184,170,138,138,137,0.9543147208121827,2.7538801203757717,True,,0.8125,1.0,462,428,215,201,180,180,178,0.9511111111111111,2.7400926959869416,True,,0.875,1.0
control_points_02_r_t,387,402,166,158,128,128,128,0.9234972677595629,2.85304635066689,True,,0.875,0.9375,448,461,201,184,169,169,168,0.9541284403669725,3.0048917414526835,True,,0.9375,1.0
control_points_03_r_t,425,377,153,145,123,123,122,0.9651162790697675,3.5180903627118227,True,,0.8125,0.875,462,428,196,179,166,166,165,0.96,3.503686657567511,True,,0.9375,0.9375
control_points_04_r_t,400,402,158,144,119,119,118,0.9325842696629213,4.262584920626913,True,,0.875,0.9375,484,461,178,165,141,141,140,0.9285714285714286,3.999099281776106,True,,0.9375,1.0
control_points_05_r_t,302,377,70,57,41,41,41,0.9493670886075949,4.1241616836516934,True,,0.4375,0.75,337,429,73,62,38,38,38,0.9329608938547486,4.171067724276283,True,,0.5,0.5625
control_points_06_r_t,291,397,63,52,36,36,35,0.949685534591195,4.5483728991128745,True,,0.4375,0.875,342,459,69,59,43,43,43,0.9310344827586207,4.816034453358642,True,,0.625,0.875
control_points_07_r_t,558,379,107,32,30,30,29,0.9411764705882353,3.342996907464716,True,,0.625,0.5,661,426,131,42,40,40,40,0.9367816091954023,3.0238016502863143,True,,0.5625,0.5
control_points_08_r_t,536,401,113,96,76,76,75,0.9230769230769231,4.319095907969438,True,,0.8125,0.9375,648,458,138,128,108,108,107,0.9044585987261147,5.144049483484437,True,,0.75,0.875
control_points_09_r_t,296,377,58,48,33,33,33,0.935064935064935,3.9484168016559593,True,,0.5625,0.75,336,429,56,45,31,31,31,0.9247311827956989,4.118962701049283,True,,0.5625,0.8125
control_points_10_r_t,316,397,45,40,30,30,30,0.9037037037037037,5.866466931277146,True,,0.375,0.625,341,459,50,43,27,27,25,0.9473684210526315,6.223727008366019,True,,0.5625,0.75
