pair_id,seed_label,match_index,is_first_stage_inlier,distance,query_x,query_y,refer_x,refer_y,query_grid_row,query_grid_col
control_points_35_r_t,G0_3407,0,1,0.9258332252502441,1215.0,324.0,1231.0,137.0,0,1
control_points_35_r_t,G0_3407,1,1,0.9642035961151123,921.0,418.0,850.0,249.0,0,1
control_points_35_r_t,G0_3407,2,1,0.9806962609291077,884.0,465.0,796.0,306.0,1,1
control_points_35_r_t,G0_3407,3,1,1.064468502998352,627.0,472.0,462.0,337.0,1,0
control_points_35_r_t,G0_3407,4,1,0.9116967916488647,1508.0,533.0,1623.0,409.0,1,2
control_points_35_r_t,G0_3407,5,1,0.9678000807762146,1417.0,549.0,1515.0,427.0,1,2
control_points_35_r_t,G0_3407,6,1,0.8874149322509766,523.0,832.0,310.0,807.0,1,0
control_points_35_r_t,G0_3407,7,1,0.9011250734329224,1488.0,911.0,1593.0,931.0,2,2
control_points_35_r_t,G0_3407,8,1,0.9987131357192993,1026.0,942.0,955.0,953.0,2,1
control_points_35_r_t,G0_3407,9,1,0.9830440282821655,1650.0,1062.0,1809.0,1127.0,2,2
control_points_35_r_t,G0_3407,10,1,0.9340947866439819,1410.0,1262.0,1495.0,1415.0,2,2
control_points_35_r_t,G0_3407,11,1,0.9628350734710693,1542.0,1271.0,1667.0,1415.0,2,2
control_points_35_r_t,G0_3407,12,1,0.9271734356880188,1471.0,1280.0,1559.0,1435.0,2,2
control_points_35_r_t,G0_3407,13,1,0.9284939765930176,1431.0,1320.0,1512.0,1480.0,3,2
control_points_39_r_t,G0_3407,0,1,0.9739022254943848,1137.0,292.0,1231.0,137.0,0,1
control_points_39_r_t,G0_3407,1,1,0.990917980670929,1107.0,387.0,1174.0,251.0,0,1
control_points_39_r_t,G0_3407,2,1,0.9984290599822998,756.0,441.0,698.0,288.0,1,1
control_points_39_r_t,G0_3407,3,1,0.9486981630325317,1360.0,445.0,1522.0,373.0,1,2
control_points_39_r_t,G0_3407,4,1,0.9995755553245544,1414.0,614.0,1576.0,609.0,1,2
control_points_39_r_t,G0_3407,5,1,1.0653119087219238,644.0,816.0,486.0,787.0,1,0
control_points_39_r_t,G0_3407,6,1,0.937247633934021,519.0,850.0,310.0,807.0,1,0
control_points_39_r_t,G0_3407,7,1,0.9600789546966553,999.0,909.0,955.0,953.0,2,1
control_points_39_r_t,G0_3407,8,1,0.9842906594276428,1373.0,963.0,1461.0,1086.0,2,2
control_points_39_r_t,G0_3407,9,1,0.9865725040435791,1441.0,1098.0,1545.0,1278.0,2,2
control_points_39_r_t,G0_3407,10,1,0.9940202236175537,1380.0,1134.0,1458.0,1316.0,2,2
control_points_39_r_t,G0_3407,11,1,0.979816198348999,786.0,1136.0,648.0,1242.0,2,1
control_points_39_r_t,G0_3407,12,1,0.8573875427246094,1485.0,1181.0,1593.0,1392.0,2,2
control_points_39_r_t,G0_3407,13,1,0.9423336982727051,1535.0,1194.0,1667.0,1415.0,2,2
control_points_39_r_t,G0_3407,14,1,0.9510369300842285,1404.0,1203.0,1495.0,1415.0,2,2
control_points_39_r_t,G0_3407,15,1,0.8786911368370056,1431.0,1248.0,1512.0,1480.0,2,2
control_points_39_r_t,G0_3407,16,1,0.8417444825172424,1498.0,1248.0,1603.0,1482.0,2,2
control_points_39_r_t,G0_3407,17,1,0.9836471676826477,1569.0,1262.0,1707.0,1505.0,2,2
control_points_39_r_t,G0_3407,18,1,1.0051333904266357,1265.0,1282.0,1289.0,1505.0,2,1
control_points_39_r_t,G0_3407,19,1,1.044776439666748,1464.0,1298.0,1566.0,1536.0,3,2
control_points_40_r_t,G0_3407,0,1,1.0021849870681763,1056.0,1073.0,938.0,1055.0,2,1
control_points_40_r_t,G0_3407,1,1,1.015042781829834,911.0,1089.0,742.0,1080.0,2,1
control_points_40_r_t,G0_3407,2,1,0.9179282188415527,1056.0,1206.0,948.0,1230.0,2,1
control_points_40_r_t,G0_3407,3,1,1.0346894264221191,978.0,1266.0,843.0,1311.0,2,1
control_points_40_r_t,G0_3407,4,1,0.9839631915092468,1336.0,1278.0,1333.0,1341.0,2,2
control_points_40_r_t,G0_3407,5,1,0.9455642700195312,1019.0,1305.0,887.0,1352.0,3,1
control_points_40_r_t,G0_3407,6,1,0.9916672110557556,1215.0,1329.0,1167.0,1406.0,3,1
control_points_40_r_t,G0_3407,7,1,1.0335655212402344,1282.0,1336.0,1262.0,1406.0,3,1
control_points_40_r_t,G0_3407,8,1,0.9758619666099548,1613.0,1347.0,1738.0,1426.0,3,2
control_points_40_r_t,G0_3407,9,1,1.0401103496551514,1289.0,1440.0,1258.0,1527.0,3,1
control_points_40_r_t,G0_3407,10,1,1.0661969184875488,1744.0,1491.0,1913.0,1615.0,3,2
