pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_A01_1_2,390,347,219,210,190,190,187,0.960352422907489,3.7642814016362585,True,,1.0,1.0,396,359,222,207,188,188,187,0.9789029535864979,3.19253700463682,True,,0.9375,0.9375,455,440,239,223,201,201,201,0.9186046511627907,3.2522388094772916,True,,0.9375,0.875
control_points_A02_1_2,329,299,75,65,54,54,54,0.9761904761904762,10.002545779461904,True,,0.75,0.6875,334,293,80,73,54,54,54,0.8352941176470589,10.095433887034064,True,,0.5625,0.625,403,358,86,70,51,51,51,0.9518072289156626,9.432157650058599,True,,0.5625,0.5625
control_points_A03_1_2,304,299,111,103,78,78,78,0.9745762711864406,5.473268725649672,True,,0.6875,0.6875,315,293,113,99,84,84,84,0.9099099099099099,6.173037312824034,True,,0.75,0.75,373,358,139,124,94,94,94,0.9655172413793104,6.154080773857219,True,,0.8125,0.8125
control_points_A04_1_2,304,329,162,154,109,109,109,0.9880952380952381,3.2394608053885348,True,,0.6875,0.6875,315,334,165,157,127,127,127,0.9550561797752809,3.0974670190225337,True,,0.875,0.875,373,403,194,186,113,113,113,0.9671361502347418,2.9894458086217157,True,,0.8125,0.8125
control_points_A05_1_2,329,398,89,81,62,62,62,1.0,6.321079206059767,True,,0.5625,0.5625,334,408,83,73,61,61,60,0.9473684210526315,5.912399314625279,True,,0.6875,0.625,403,471,81,74,52,52,52,0.9659090909090909,5.432637508720343,True,,0.5,0.5
control_points_A06_1_2,304,398,108,103,67,67,67,0.9912280701754386,6.01304549698164,True,,0.6875,0.6875,315,408,99,92,66,66,66,0.9519230769230769,6.787838190671458,True,,0.625,0.625,373,471,115,106,76,76,76,0.9838709677419355,5.992535733474787,True,,0.5625,0.5625
control_points_A07_1_2,385,383,223,214,165,165,165,0.9121338912133892,6.680788773879412,True,,0.875,0.875,403,388,236,229,157,157,157,0.9698275862068966,7.405402129240547,True,,0.875,0.8125,492,486,280,261,200,200,200,0.9166666666666666,7.526891746484864,True,,0.875,0.875
control_points_A08_1_2,367,383,85,77,58,58,58,0.9325842696629213,17.96325219273503,True,,0.75,0.75,387,388,92,86,62,62,62,0.9801980198019802,16.296726526467165,True,,0.625,0.625,524,486,96,84,63,63,63,0.97,15.509089178781489,True,,0.625,0.625
control_points_A09_1_2,367,385,112,103,74,74,74,0.9385964912280702,5.983195260035654,True,,0.625,0.625,387,403,100,95,73,73,71,0.972972972972973,5.891407650261352,True,,0.75,0.625,524,492,105,95,73,73,73,0.9035087719298246,5.46052182259876,True,,0.6875,0.6875
control_points_A10_1_2,412,442,315,308,264,264,264,0.975,3.418387716899334,True,,0.9375,0.9375,428,431,321,311,243,243,242,0.9204892966360856,3.61801583702211,True,,0.9375,0.9375,535,515,392,389,339,339,337,0.9503722084367245,3.675998806896093,True,,1.0,1.0
control_points_A11_1_2,406,442,312,306,250,250,250,0.9775641025641025,2.638292412902463,True,,1.0,1.0,414,431,318,313,243,243,239,0.9444444444444444,2.867566558035184,True,,1.0,1.0,525,515,387,375,348,348,344,0.9370277078085643,2.840945173212149,True,,1.0,1.0
control_points_A12_1_2,412,442,309,306,228,228,226,0.9874213836477987,2.036164680674695,True,,0.9375,1.0,417,431,323,318,283,283,281,0.9815950920245399,2.9256448755316713,True,,1.0,1.0,535,515,377,368,302,302,298,0.9485861182519281,2.7139752509656816,True,,1.0,1.0
control_points_A13_1_2,403,361,255,247,211,211,211,0.9759036144578314,5.471371955007465,True,,1.0,1.0,423,364,244,236,184,184,184,0.9878542510121457,4.758118918380076,True,,0.875,0.875,495,445,297,286,220,220,217,0.9553264604810997,4.913229257807211,True,,1.0,1.0
control_points_A14_1_2,404,361,229,217,152,152,151,0.9570815450643777,6.1279159542757915,True,,0.8125,0.875,407,364,212,205,170,170,169,0.9653679653679653,6.259599302561985,True,,0.8125,0.875,487,445,264,248,214,214,213,0.9781021897810219,5.624503230844711,True,,0.875,0.9375
control_points_P01_1_2,371,403,235,231,178,178,178,1.0,3.499370997202334,True,,0.6875,0.6875,373,407,238,233,182,182,182,1.0,3.779225809798384,True,,0.6875,0.6875,457,473,276,270,184,184,184,1.0,2.6909790937513813,True,,0.75,0.6875
control_points_P02_1_2,354,385,237,232,189,189,185,0.9572649572649573,4.360460384572455,True,,0.8125,0.75,359,388,233,227,188,188,188,0.9621848739495799,5.121568330443079,True,,0.8125,0.875,431,467,277,273,198,198,193,0.9535714285714286,4.3711684419826,True,,0.75,0.625
control_points_P03_1_2,346,368,216,213,138,138,138,1.0,5.163865021666523,True,,0.5625,0.625,371,382,217,212,164,164,164,1.0,3.6126459983476105,True,,0.6875,0.75,463,484,282,276,205,205,205,1.0,3.0352053526848897,True,,0.75,0.8125
control_points_P04_1_2,424,359,72,60,41,41,41,1.0,11.717645543693685,True,,0.375,0.1875,430,369,71,66,41,41,41,1.0,15.0238518744782,True,,0.375,0.25,527,487,96,87,52,52,52,1.0,10.66824787965695,True,,0.3125,0.25
control_points_P05_1_2,410,359,64,55,35,35,35,1.0,13.467332045310268,True,,0.375,0.3125,429,369,63,56,31,31,31,1.0,17.37742016122592,True,,0.3125,0.3125,499,487,93,85,57,57,57,1.0,7.911837817965031,True,,0.3125,0.375
control_points_P06_1_2,361,356,165,159,100,100,100,1.0,8.90038257381698,True,,0.5625,0.6875,361,368,171,163,106,106,106,1.0,7.901563139205544,True,,0.5625,0.6875,454,449,211,207,168,168,168,1.0,4.5408455064195845,True,,0.625,0.75
control_points_P07_1_2,356,356,185,175,130,130,130,1.0,3.915323926274014,True,,0.6875,0.8125,383,368,180,176,124,124,124,1.0,4.06098641998933,True,,0.625,0.75,464,449,222,217,148,148,148,1.0,4.758613314807849,True,,0.625,0.6875
control_points_P08_1_2,324,385,139,135,91,91,91,1.0,5.288429155154657,True,,0.4375,0.4375,351,387,142,137,83,83,83,1.0,4.22356706465394,True,,0.5,0.5625,434,472,166,162,97,97,97,1.0,8.687000072521684,True,,0.5,0.4375
control_points_P09_1_2,335,385,110,107,54,54,54,1.0,12.832362176110433,True,,0.4375,0.4375,350,387,110,106,58,58,58,1.0,11.955397316444424,True,,0.3125,0.375,425,472,127,120,71,71,71,1.0,14.823056841158921,True,,0.375,0.4375
control_points_P10_1_2,359,387,141,136,87,87,87,1.0,4.715580688861629,True,,0.4375,0.375,361,398,141,137,83,83,83,1.0,5.278474408001982,True,,0.5,0.5,453,476,182,172,107,107,107,1.0,9.704503001402712,True,,0.5625,0.4375
control_points_P11_1_2,371,387,135,126,77,77,77,1.0,6.69421551208694,True,,0.5,0.5625,371,398,139,135,81,81,81,1.0,6.4041691641713685,True,,0.5,0.5,452,476,164,152,96,96,96,1.0,6.795628510657086,True,,0.5625,0.5625
control_points_P12_1_2,385,387,149,139,83,83,83,1.0,5.2254126318380925,True,,0.5,0.5625,399,398,145,134,72,72,72,1.0,7.7860124298426,True,,0.5625,0.625,470,476,166,155,90,90,90,1.0,6.130821922470836,True,,0.5625,0.6875
control_points_P13_1_2,371,359,117,107,71,71,71,1.0,6.425028734333516,True,,0.5,0.4375,371,361,106,99,55,55,55,1.0,7.105412191639267,True,,0.375,0.4375,452,453,123,115,72,72,72,1.0,8.536198445456009,True,,0.375,0.4375
control_points_P14_1_2,385,359,113,105,70,70,70,1.0,9.769660170150697,True,,0.375,0.4375,399,361,103,92,55,55,55,1.0,9.968860686536951,True,,0.375,0.4375,470,453,126,111,78,78,78,1.0,6.932043195360135,True,,0.4375,0.4375
control_points_P15_1_2,385,371,52,45,27,27,27,1.0,30.700002849800036,True,,0.1875,0.1875,399,371,40,32,23,23,23,1.0,15.541205790662499,True,,0.25,0.1875,470,452,53,45,29,29,29,1.0,9.379937823160716,True,,0.25,0.1875
control_points_P16_1_2,331,343,122,119,71,71,71,1.0,7.226678432377038,True,,0.5,0.4375,321,353,129,120,77,77,77,1.0,5.936053027903665,True,,0.5,0.4375,391,426,152,148,87,87,87,1.0,4.801464627078336,True,,0.625,0.5625
control_points_P17_1_2,305,310,122,118,76,76,76,1.0,4.1675198634125055,True,,0.5,0.5625,327,315,129,127,71,71,71,1.0,6.768814944914439,True,,0.5625,0.375,372,367,140,127,85,85,85,1.0,5.620446040962697,True,,0.625,0.6875
control_points_P18_1_2,292,310,104,96,65,65,65,1.0,4.000875519329342,True,,0.5625,0.375,298,315,102,94,63,63,63,1.0,4.981832536902159,True,,0.5625,0.4375,323,367,102,95,56,56,56,1.0,21.335514389332353,True,,0.5,0.25
control_points_P19_1_2,402,381,237,229,157,157,157,1.0,4.767182800928057,True,,0.875,0.875,405,383,216,207,155,155,155,1.0,3.8402910987561243,True,,0.875,0.875,464,460,262,249,182,182,182,1.0,3.9589178295721164,True,,0.75,0.75
control_points_P20_1_2,392,351,186,179,127,127,127,1.0,6.807813627307712,True,,0.5625,0.625,383,350,180,177,125,125,125,1.0,5.300494841406387,True,,0.6875,0.6875,467,420,214,206,164,164,164,1.0,4.8840335210773524,True,,0.625,0.6875
control_points_P21_1_2,415,397,203,201,132,132,132,1.0,5.51464128200209,True,,0.625,0.625,418,408,201,200,118,118,118,1.0,7.556700319028143,True,,0.5625,0.5625,541,515,262,254,178,178,178,1.0,3.4485588454563,True,,0.625,0.75
control_points_P22_1_2,406,397,135,129,82,82,82,1.0,13.844276907044673,True,,0.4375,0.4375,430,408,141,138,88,88,88,1.0,7.116999093002457,True,,0.375,0.375,514,515,172,159,100,100,100,1.0,6.990578774128837,True,,0.3125,0.375
control_points_P23_1_2,353,389,116,110,66,66,66,1.0,11.318173248407094,True,,0.5,0.5,363,398,104,98,57,57,57,1.0,10.606070154455491,True,,0.5625,0.5,460,490,134,125,86,86,86,1.0,6.1350730049744095,True,,0.5,0.5625
control_points_P24_1_2,387,393,213,208,131,131,131,1.0,7.682212859629945,True,,0.5,0.4375,397,389,198,189,144,144,144,1.0,6.831301729236154,True,,0.625,0.625,453,467,239,237,163,163,163,1.0,8.317915655450161,True,,0.625,0.5
