pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_01_r_t,420,352,192,179,160,160,159,0.9396984924623115,2.9517049536694917,True,,0.875,0.9375,423,364,178,163,116,116,111,0.8848167539267016,2.752136575257539,True,,0.6875,0.75,462,428,215,201,180,180,178,0.9511111111111111,2.7400926959869416,True,,0.875,1.0
control_points_02_r_t,389,392,178,160,125,125,125,0.9158415841584159,3.336924488221626,True,,0.8125,0.9375,390,408,169,156,125,125,125,0.9418604651162791,4.053144487994053,True,,0.9375,0.9375,448,461,201,184,169,169,168,0.9541284403669725,3.0048917414526835,True,,0.9375,1.0
control_points_03_r_t,406,352,164,153,136,136,136,0.9337016574585635,3.853594685947043,True,,0.9375,0.9375,399,364,161,144,128,128,127,0.9444444444444444,3.8574524903491265,True,,0.9375,0.9375,462,428,196,179,166,166,165,0.96,3.503686657567511,True,,0.9375,0.9375
control_points_04_r_t,409,392,159,147,122,122,122,0.9021739130434783,4.588223975277265,True,,0.9375,0.9375,404,408,156,139,121,121,121,0.9156626506024096,3.856119431813704,True,,0.8125,0.8125,484,461,178,165,141,141,140,0.9285714285714286,3.999099281776106,True,,0.9375,1.0
control_points_05_r_t,309,348,75,60,45,45,45,0.959731543624161,4.071937602102967,True,,0.5,0.6875,295,362,67,60,38,38,38,0.9375,4.372308413729939,True,,0.5,0.625,337,429,73,62,38,38,38,0.9329608938547486,4.171067724276283,True,,0.5,0.5625
control_points_06_r_t,299,389,54,49,30,30,30,0.9512195121951219,4.7924852365211965,True,,0.375,0.875,297,402,71,54,33,33,33,0.9319727891156463,4.1268622598755,True,,0.5,0.8125,342,459,69,59,43,43,43,0.9310344827586207,4.816034453358642,True,,0.625,0.875
control_points_07_r_t,544,352,113,37,30,30,30,0.92,4.140860890252543,True,,0.6875,0.5,540,360,107,38,36,36,34,0.9555555555555556,3.5072912157776144,True,,0.625,0.5625,661,426,131,42,40,40,40,0.9367816091954023,3.0238016502863143,True,,0.5625,0.5
control_points_08_r_t,524,390,115,42,35,35,35,0.971830985915493,5.1536537150081525,True,,0.625,0.625,540,408,121,103,91,91,91,0.9483870967741935,4.499376489453088,True,,1.0,0.9375,648,458,138,128,108,108,107,0.9044585987261147,5.144049483484437,True,,0.75,0.875
control_points_09_r_t,308,348,57,48,28,28,28,0.9151515151515152,3.9688090755942387,True,,0.5625,0.6875,313,362,57,46,34,34,34,0.9415584415584416,4.071367053439862,True,,0.5625,0.75,336,429,56,45,31,31,31,0.9247311827956989,4.118962701049283,True,,0.5625,0.8125
control_points_10_r_t,305,389,37,29,17,17,16,0.9420289855072463,7.836865537628192,True,,0.375,0.625,304,402,47,38,23,23,23,0.928,7.064681496599217,True,,0.5,0.75,341,459,50,43,27,27,25,0.9473684210526315,6.223727008366019,True,,0.5625,0.75
control_points_11_r_t,380,388,202,193,165,165,165,0.9819819819819819,3.9103033367388598,True,,0.8125,0.8125,392,378,185,168,148,148,148,0.9537037037037037,3.875400288505093,True,,0.8125,0.875,434,423,217,207,185,185,185,0.9375,3.7724449657958874,True,,0.8125,0.9375
control_points_12_r_t,340,344,167,159,137,137,137,0.9779005524861878,3.4224957671275127,True,,0.75,0.8125,346,379,163,160,151,151,150,0.9615384615384616,3.5893031244900846,True,,0.75,0.75,404,404,193,187,163,163,162,0.96875,3.520950432950546,True,,0.75,0.8125
control_points_13_r_t,280,350,72,66,46,46,46,0.9542857142857143,4.591591388434521,True,,0.5,0.625,277,378,69,64,47,47,47,0.9685863874345549,4.5476674187199935,True,,0.5625,0.625,313,408,89,78,49,49,49,0.9463414634146341,5.489689963682647,True,,0.5625,0.5625
control_points_14_r_t,472,390,106,19,17,17,17,0.9619565217391305,6.045328264015382,True,,0.5625,0.625,477,385,105,90,79,79,79,0.9647058823529412,6.488360031929122,True,,0.8125,0.875,600,426,124,34,33,33,30,0.96,6.21431199758085,True,,0.625,0.5625
control_points_15_r_t,524,351,160,145,142,142,142,0.9606741573033708,3.541754959808642,True,,0.9375,0.75,530,387,166,145,129,129,129,0.9455445544554455,3.4713945838662954,True,,0.9375,0.75,670,405,175,68,64,64,64,0.9396984924623115,3.911908069751042,True,,0.75,0.6875
control_points_16_r_t,292,390,65,52,29,29,29,0.9411764705882353,6.22605027898524,True,,0.5,0.6875,307,385,65,52,34,34,34,0.9368421052631579,6.332833438968741,True,,0.5625,0.6875,323,418,57,48,34,34,34,0.9425837320574163,6.275802609675469,True,,0.5,0.625
control_points_17_r_t,247,350,63,57,40,40,38,0.9707602339181286,6.1669964792797,True,,0.5,0.5625,274,378,66,60,36,36,35,0.9823529411764705,6.020200242518741,True,,0.375,0.625,279,408,74,65,48,48,48,0.9581151832460733,6.026235313246224,True,,0.4375,0.5625
control_points_18_r_t,304,372,172,165,130,130,126,0.9473684210526315,2.9008052025728843,True,,0.625,0.75,300,384,158,153,129,129,128,0.9285714285714286,3.2572216289384524,True,,0.75,0.9375,328,418,185,173,130,130,122,0.9307958477508651,2.9315284728088913,True,,0.625,0.75
control_points_19_r_t,280,338,108,101,88,88,88,0.9615384615384616,2.453156541377807,True,,0.5625,0.625,277,348,110,98,67,67,66,0.9488636363636364,2.505735434722058,True,,0.5,0.5625,313,398,121,116,101,101,101,0.9710144927536232,2.2816594675987365,True,,0.625,0.75
control_points_20_r_t,472,380,208,93,89,89,89,0.9578544061302682,2.796530301646202,True,,0.9375,0.6875,477,390,184,168,143,143,142,0.9391634980988594,2.8632121391804444,True,,1.0,0.9375,600,434,226,106,105,105,103,0.9662162162162162,2.420326483650354,True,,1.0,0.875
control_points_21_r_t,524,339,144,130,111,111,110,0.9473684210526315,2.028434536223123,True,,0.9375,0.8125,530,344,153,138,133,133,133,0.9278350515463918,2.3930298866943316,True,,0.875,0.75,670,402,169,65,65,65,65,0.9712918660287081,2.143513164468,True,,1.0,1.0
control_points_22_r_t,292,372,148,138,118,118,118,0.926530612244898,3.704077447549585,True,,0.6875,0.875,307,384,149,139,114,114,114,0.9356223175965666,3.564824909703617,True,,0.625,0.75,323,418,158,149,103,103,102,0.9694656488549618,4.269562943060889,True,,0.5,0.8125
control_points_23_r_t,247,338,91,84,69,69,69,0.9832402234636871,3.103389817978479,True,,0.5,0.5,274,348,90,81,64,64,63,0.9693251533742331,4.005911034364931,True,,0.5625,0.6875,279,398,108,102,89,89,89,0.9662921348314607,2.935977571617602,True,,0.625,0.625
control_points_24_r_t,375,348,154,141,118,118,118,0.968944099378882,5.323679382063834,True,,0.8125,0.8125,388,362,143,133,116,116,116,0.9404761904761905,5.700562031244921,True,,0.6875,0.8125,442,397,145,133,123,123,123,0.9764705882352941,6.164889620471114,True,,0.8125,0.875
control_points_25_r_t,365,407,190,182,145,145,142,0.9696969696969697,3.0471681099825223,True,,0.8125,0.875,383,393,185,178,163,163,161,0.9748743718592965,3.5677482491314927,True,,0.8125,0.875,428,462,216,208,198,198,198,0.9665271966527197,3.6565523818499357,True,,0.8125,0.8125
control_points_26_r_t,390,348,152,138,125,125,125,0.9513513513513514,6.1317893504247145,True,,0.75,0.8125,401,362,142,132,95,95,94,0.9515151515151515,6.101823940206752,True,,0.75,0.8125,486,397,167,153,120,120,120,0.9794871794871794,6.576005823593621,True,,0.625,0.6875
control_points_27_r_t,374,407,202,189,162,162,160,0.9392523364485982,3.8170341765840194,True,,0.875,0.9375,389,393,207,191,173,173,171,0.9375,4.7401262539041875,True,,0.9375,1.0,456,462,247,235,218,218,214,0.9416342412451362,4.611771692873091,True,,0.9375,0.9375
control_points_28_r_t,314,356,62,52,34,34,34,0.9428571428571428,7.243047491376564,True,,0.3125,0.5625,312,367,54,43,29,29,28,0.9597701149425287,6.892404889799532,True,,0.25,0.5,345,404,62,52,34,34,34,0.9757281553398058,7.111739843121508,True,,0.375,0.6875
control_points_29_r_t,278,405,67,58,45,45,45,0.9408866995073891,5.106001003681431,True,,0.5,0.8125,284,394,73,65,48,48,48,0.953125,5.199149934225594,True,,0.5625,0.875,320,461,72,62,45,45,45,0.9678899082568807,5.169798236005914,True,,0.4375,0.8125
control_points_30_r_t,505,348,124,50,46,46,46,0.9367088607594937,5.5156613516003965,True,,0.5625,0.5625,543,368,126,107,84,84,84,0.9166666666666666,5.1885272039292385,True,,0.8125,0.8125,652,398,140,46,45,45,44,0.9476744186046512,5.063129945478695,True,,0.625,0.75
control_points_31_r_t,506,406,137,49,48,48,47,0.9457831325301205,4.48211313778736,True,,0.75,0.875,527,392,131,53,53,53,52,0.9533333333333334,4.263727422600865,True,,1.0,1.0,652,456,148,51,49,49,48,0.9631578947368421,4.833616596848237,True,,0.6875,0.75
control_points_32_r_t,270,356,51,40,25,25,25,0.9659863945578231,7.325044165211744,True,,0.375,0.4375,263,367,56,47,31,31,31,0.9361702127659575,7.055148800461931,True,,0.375,0.625,310,404,61,51,33,33,33,0.9328859060402684,7.015520038381322,True,,0.25,0.5
control_points_33_r_t,384,383,181,172,136,136,136,0.965,4.907292816222628,True,,0.6875,0.75,386,387,177,170,144,144,142,0.9587628865979382,4.888229800839317,True,,0.8125,0.8125,428,464,190,183,160,160,160,0.9385964912280702,4.605210429923432,True,,0.8125,0.9375
control_points_34_r_t,394,363,185,172,158,158,158,0.9466019417475728,3.7820151554395625,True,,0.8125,0.8125,402,390,182,172,152,152,152,0.9282296650717703,3.3747605964199505,True,,0.75,0.75,465,433,203,194,174,174,174,0.9055793991416309,3.6679450114185226,True,,0.75,0.8125
control_points_35_r_t,243,383,29,26,13,13,13,0.9540229885057471,9.676175230157131,True,,0.4375,0.5,256,388,24,17,10,10,10,0.9285714285714286,12.734922142885388,True,,0.375,0.4375,263,461,32,23,14,14,14,0.9770114942528736,10.600483057592218,True,,0.4375,0.4375
control_points_36_r_t,279,363,51,44,30,30,30,0.9251700680272109,7.494576108779587,True,,0.3125,0.5625,287,388,45,41,25,25,25,0.9078014184397163,7.430187455732878,True,,0.3125,0.375,318,431,53,45,28,28,28,0.9580838323353293,8.382610551586415,True,,0.3125,0.5
control_points_37_r_t,498,381,129,62,59,59,58,0.9545454545454546,8.9154937728141,True,,0.625,0.4375,480,385,115,100,79,79,79,0.944,9.461399770183435,True,,0.8125,0.8125,565,462,140,127,101,101,101,0.9640718562874252,8.661106448369706,True,,0.8125,0.6875
control_points_38_r_t,524,366,96,35,34,34,34,0.9009009009009009,9.139460764603216,True,,0.4375,0.375,524,387,88,74,69,69,69,0.9473684210526315,9.515009658666779,True,,0.875,0.6875,623,432,104,84,78,78,76,0.9296875,9.369381699316273,True,,0.8125,0.75
control_points_39_r_t,273,383,31,22,13,13,13,0.9504132231404959,17.044393754861673,True,,0.4375,0.4375,283,388,25,18,13,13,13,0.944954128440367,16.63089920822681,True,,0.375,0.4375,318,461,34,26,20,20,20,0.9323308270676691,18.323853948848452,True,,0.4375,0.5
control_points_40_r_t,286,363,23,21,13,13,13,0.98,18.514164689425545,True,,0.25,0.25,294,388,19,13,9,9,7,0.8507462686567164,18.912074303055203,True,,0.25,0.25,320,431,24,18,11,11,11,0.8985507246376812,17.958468078969364,True,,0.25,0.1875
control_points_41_r_t,384,404,232,225,199,199,198,0.96,3.5853890230898116,True,,0.875,0.875,386,417,241,232,213,213,213,0.9133858267716536,3.625126000440797,True,,0.875,0.9375,428,466,269,263,204,204,201,0.910394265232975,3.478933119621674,True,,0.8125,1.0
control_points_42_r_t,394,407,257,248,230,230,230,0.9311594202898551,2.015766124039269,True,,1.0,0.9375,402,413,248,238,207,207,203,0.9015151515151515,2.4347293885355596,True,,0.875,0.875,465,457,273,259,205,205,203,0.9498207885304659,2.888106117800293,True,,0.875,0.9375
control_points_43_r_t,243,408,29,20,12,12,11,0.9659090909090909,7.190210535047972,True,,0.375,0.3125,256,413,40,38,27,27,27,0.9479166666666666,7.719974375657061,True,,0.5,0.5625,263,470,36,30,23,23,23,0.9310344827586207,8.15139530998893,True,,0.5,0.5625
control_points_44_r_t,279,413,74,62,43,43,33,0.9513513513513514,6.195070584938702,True,,0.4375,0.75,287,411,64,53,31,31,30,0.93048128342246,6.533015825784748,True,,0.3125,0.5,318,474,70,62,42,42,42,0.9532710280373832,5.787232204768312,True,,0.3125,0.6875
control_points_45_r_t,498,405,149,67,66,66,65,0.9447852760736196,5.009831280742715,True,,0.8125,0.75,480,411,136,125,104,104,104,0.9308176100628931,5.761936720216873,True,,0.875,0.8125,565,471,172,157,143,143,143,0.9405405405405406,5.410128411373212,True,,0.9375,0.875
control_points_46_r_t,524,408,133,52,49,49,48,0.9041916167664671,6.810749518782459,True,,0.75,0.75,524,413,128,109,94,94,94,0.9182389937106918,7.302322452766316,True,,0.875,0.875,623,471,156,136,119,119,119,0.9786096256684492,6.805096980118787,True,,0.9375,0.9375
control_points_47_r_t,273,408,44,38,26,26,26,0.912751677852349,13.197309129441512,True,,0.4375,0.5625,283,413,55,44,26,26,24,0.8625954198473282,12.656982484887733,True,,0.5,0.625,318,470,52,47,29,29,29,0.9352941176470588,11.951877942226732,True,,0.5,0.5625
control_points_48_r_t,286,413,46,38,26,26,26,0.8496732026143791,12.363546657397068,True,,0.375,0.5625,294,411,51,42,24,24,23,0.7985611510791367,12.857200281619816,True,,0.5,0.5625,320,474,42,30,17,17,17,0.9312977099236641,13.332730014989515,True,,0.3125,0.3125
control_points_49_r_t,243,391,71,59,49,49,49,0.9637681159420289,5.410747475987008,True,,0.6875,0.8125,256,385,64,56,41,41,41,0.9453125,5.76126134147504,True,,0.625,0.6875,263,425,65,56,48,48,48,0.9328358208955224,5.362588291801127,True,,0.6875,0.6875
control_points_50_r_t,279,385,120,106,83,83,83,0.9715639810426541,3.716271068300617,True,,0.5625,0.8125,287,396,102,97,86,86,86,0.9705882352941176,3.3255759414268744,True,,0.5,0.75,318,469,119,110,76,76,76,0.968609865470852,3.2872158754574605,True,,0.5,0.6875
control_points_51_r_t,498,399,173,88,84,84,82,0.946078431372549,3.744883744557411,True,,0.75,0.625,480,396,155,139,106,106,106,0.9204545454545454,3.9510916678999446,True,,0.875,0.8125,565,432,182,164,138,138,138,0.9534883720930233,3.6275691480498016,True,,0.875,0.75
control_points_52_r_t,524,388,178,88,70,70,70,0.9354838709677419,4.785460806551947,True,,0.6875,0.6875,524,402,168,153,136,136,136,0.96,5.1045271189353,True,,0.9375,0.9375,623,465,192,170,144,144,144,0.9570815450643777,5.244358857498486,True,,1.0,0.9375
control_points_53_r_t,273,391,80,73,52,52,52,0.930635838150289,10.05780955268135,True,,0.625,0.75,283,385,81,70,51,51,51,0.8698224852071006,9.599104012218069,True,,0.6875,0.8125,318,425,93,81,53,53,53,0.9476744186046512,8.696356556186416,True,,0.5625,0.75
control_points_54_r_t,286,385,81,72,47,47,47,0.9487179487179487,10.390052824069512,True,,0.625,0.6875,294,396,82,73,47,47,47,0.9256756756756757,10.722295280466438,True,,0.625,0.75,320,469,82,72,47,47,47,0.9425287356321839,10.464574739565261,True,,0.5625,0.6875
control_points_55_r_t,414,415,199,192,158,158,157,0.9636363636363636,3.52365815377086,True,,0.9375,0.9375,408,421,178,172,145,145,144,0.9601990049751243,3.285977579916691,True,,0.9375,0.9375,472,485,218,205,184,184,184,0.9439655172413793,3.1971089801120463,True,,0.875,0.9375
control_points_56_r_t,384,417,234,224,168,168,160,0.9012345679012346,2.3461427069244376,True,,1.0,1.0,383,414,226,211,173,173,172,0.9282700421940928,2.29957164688,True,,0.9375,0.9375,417,466,240,233,210,210,209,0.956,2.191173139522735,True,,0.9375,1.0
control_points_57_r_t,420,415,196,179,126,126,125,0.9362745098039216,3.648914855259585,True,,0.8125,0.75,430,421,185,174,151,151,151,0.9323671497584541,3.257592501366805,True,,0.875,1.0,499,485,206,196,154,154,154,0.9282511210762332,3.768871270334276,True,,0.875,0.9375
control_points_58_r_t,390,417,175,163,147,147,147,0.9285714285714286,5.026460093936214,True,,0.8125,0.9375,402,414,178,162,138,138,138,0.9585492227979274,5.251407007866495,True,,0.75,0.875,476,466,199,185,156,156,156,0.9711538461538461,5.6817450849392594,True,,0.75,0.75
control_points_59_r_t,296,412,46,36,24,24,24,0.9575757575757575,5.535544422789596,True,,0.5,0.625,297,415,41,32,19,19,19,0.9455782312925171,5.201748354497332,True,,0.4375,0.5,328,483,40,35,24,24,24,0.9470588235294117,5.921250272716285,True,,0.5,0.5625
control_points_60_r_t,245,419,33,28,16,16,16,0.9708029197080292,7.463991243735098,True,,0.375,0.5,265,415,31,27,18,18,12,0.9468085106382979,7.552988435347711,True,,0.375,0.5,284,467,27,25,20,20,19,0.9761904761904762,7.247540627233584,True,,0.3125,0.4375
control_points_61_r_t,315,412,36,30,19,19,19,0.9375,9.436940849040864,True,,0.4375,0.4375,300,415,42,33,16,16,16,0.951048951048951,9.83199657652225,True,,0.4375,0.375,338,483,39,30,19,19,19,0.9551282051282052,9.985579050757101,True,,0.5,0.5625
control_points_62_r_t,288,419,49,40,21,21,21,0.9319727891156463,10.039758389578282,True,,0.5,0.5625,307,415,45,37,23,23,23,0.9230769230769231,10.613349990802678,True,,0.4375,0.5625,319,467,51,43,29,29,29,0.9536423841059603,10.763852706775518,True,,0.5,0.6875
control_points_63_r_t,420,414,222,205,194,194,194,0.9427312775330396,3.3233108772189417,True,,0.875,0.9375,430,408,220,209,193,193,190,0.9587155963302753,3.2794879218270765,True,,0.8125,0.9375,499,472,241,226,208,208,207,0.9300411522633745,3.218858814228648,True,,0.875,0.9375
control_points_64_r_t,390,384,200,188,142,142,141,0.9534883720930233,4.2491843469982635,True,,0.875,0.8125,402,383,195,184,159,159,159,0.9433962264150944,3.657215801552845,True,,0.9375,0.9375,476,417,219,203,180,180,177,0.9583333333333334,4.522167935625618,True,,0.9375,0.9375
control_points_65_r_t,296,414,76,67,53,53,53,0.95,3.9669206702828617,True,,0.5,0.8125,297,407,71,61,47,47,47,0.9675675675675676,4.2916404374212584,True,,0.5,0.75,328,464,80,73,53,53,52,0.9671361502347418,4.110056097846726,True,,0.5,0.8125
control_points_66_r_t,245,373,55,47,35,35,35,0.948051948051948,4.967047937543791,True,,0.3125,0.625,265,385,67,59,38,38,37,0.9246575342465754,4.2773039521208664,True,,0.375,0.5,284,416,63,61,47,47,47,0.967741935483871,4.870791085229613,True,,0.5,0.6875
control_points_67_r_t,538,413,157,67,59,59,59,0.9641025641025641,5.8169123156684295,True,,0.75,0.625,526,411,136,121,108,108,108,0.9550561797752809,5.795762153398702,True,,0.9375,0.8125,691,474,172,142,132,132,132,0.9665071770334929,5.621362836874623,True,,0.9375,0.8125
control_points_68_r_t,498,382,92,36,30,30,30,0.9663865546218487,6.38821579748847,True,,0.375,0.3125,512,381,94,84,66,66,66,0.9259259259259259,6.248783646157221,True,,0.8125,0.6875,649,411,98,37,35,35,27,0.9831932773109243,6.19873247768896,True,,0.5,0.625
control_points_69_r_t,315,414,65,55,36,36,35,0.9476744186046512,7.438457782848412,True,,0.4375,0.6875,300,407,66,56,34,34,33,0.9375,7.609100904726607,True,,0.5,0.625,338,464,64,54,42,42,42,0.9623655913978495,7.49996338881088,True,,0.625,0.75
control_points_70_r_t,288,373,79,69,41,41,41,0.9432624113475178,6.712451536312862,True,,0.5625,0.6875,307,385,79,69,41,41,41,0.9586206896551724,6.406625559370274,True,,0.4375,0.5,319,416,77,63,47,47,47,0.9664429530201343,6.87700208196899,True,,0.5,0.6875
