method,pair_id,region,detected_query_count,ratio_pass_count,mutual_ratio_count,ratio_pass_rate,mutual_ratio_rate,ratio_mean,ratio_median,ratio_p90,best_distance_mean,distance_margin_mean
G0_seed3407,35_r_t,vessel_core,73,14,14,0.1917808219178082,0.1917808219178082,0.9404078722000122,0.9724212884902954,0.9947924256324768,1.1069235801696777,0.0697244182229042
G0_seed3407,35_r_t,vessel_edge,34,2,2,0.058823529411764705,0.058823529411764705,0.9641352295875549,0.9734411239624023,0.9971101522445679,1.1485414505004883,0.04268581047654152
G0_seed3407,35_r_t,non_vessel,156,16,15,0.10256410256410256,0.09615384615384616,0.9608432054519653,0.9761350154876709,0.994477391242981,1.1349588632583618,0.04609416425228119
G0_seed3407,39_r_t,vessel_core,188,28,27,0.14893617021276595,0.14361702127659576,0.9529110789299011,0.9775672554969788,0.9969155550003052,1.1296881437301636,0.055672332644462585
G0_seed3407,39_r_t,vessel_edge,58,1,1,0.017241379310344827,0.017241379310344827,0.9732259511947632,0.9839398860931396,0.9962568759918213,1.1574769020080566,0.03167184442281723
G0_seed3407,39_r_t,non_vessel,72,5,5,0.06944444444444445,0.06944444444444445,0.966303288936615,0.9821505546569824,0.9959327518939972,1.1460987329483032,0.039643771946430206
G0_seed3407,40_r_t,vessel_core,179,15,15,0.08379888268156424,0.08379888268156424,0.9647222757339478,0.9794644713401794,0.9971297383308411,1.1482187509536743,0.041884902864694595
G0_seed3407,40_r_t,vessel_edge,58,5,5,0.08620689655172414,0.08620689655172414,0.9663272500038147,0.9832338094711304,0.9979698061943054,1.1481353044509888,0.03995255008339882
G0_seed3407,40_r_t,non_vessel,83,4,4,0.04819277108433735,0.04819277108433735,0.9680562615394592,0.979275643825531,0.9954012155532836,1.1527284383773804,0.037794217467308044
G0_seed3407,43_r_t,vessel_core,73,15,15,0.2054794520547945,0.2054794520547945,0.9479772448539734,0.9720277786254883,0.9957491517066955,1.114668846130371,0.060817066580057144
G0_seed3407,43_r_t,vessel_edge,34,0,0,0.0,0.0,0.9669021368026733,0.9752658009529114,0.9952435493469238,1.1484975814819336,0.03917691111564636
G0_seed3407,43_r_t,non_vessel,156,21,21,0.1346153846153846,0.1346153846153846,0.954048752784729,0.9757113456726074,0.9951843619346619,1.1224011182785034,0.05345098674297333
G4_seed3407,35_r_t,vessel_core,65,13,13,0.2,0.2,0.9418812990188599,0.9693722724914551,0.9960612416267395,1.118755578994751,0.06823833286762238
G4_seed3407,35_r_t,vessel_edge,47,5,5,0.10638297872340426,0.10638297872340426,0.960905134677887,0.9767155647277832,0.9977517485618591,1.1435171365737915,0.046345602720975876
G4_seed3407,35_r_t,non_vessel,165,17,17,0.10303030303030303,0.10303030303030303,0.9603537917137146,0.9766461253166199,0.9957822322845459,1.1456348896026611,0.046922944486141205
G4_seed3407,39_r_t,vessel_core,204,16,16,0.0784313725490196,0.0784313725490196,0.9576340317726135,0.97429358959198,0.9961737811565399,1.1378955841064453,0.05031280964612961
G4_seed3407,39_r_t,vessel_edge,48,4,4,0.08333333333333333,0.08333333333333333,0.9604352116584778,0.9814324975013733,0.9972484290599823,1.1506456136703491,0.046624284237623215
G4_seed3407,39_r_t,non_vessel,80,6,6,0.075,0.075,0.9660588502883911,0.9797984957695007,0.9982887864112854,1.15475332736969,0.04033903405070305
G4_seed3407,40_r_t,vessel_core,178,17,17,0.09550561797752809,0.09550561797752809,0.9612796902656555,0.9764489531517029,0.996429693698883,1.1473307609558105,0.046114418655633926
G4_seed3407,40_r_t,vessel_edge,51,3,3,0.058823529411764705,0.058823529411764705,0.971364438533783,0.982326865196228,0.9979206323623657,1.1617239713668823,0.03411593660712242
G4_seed3407,40_r_t,non_vessel,84,4,4,0.047619047619047616,0.047619047619047616,0.9692983031272888,0.9807754755020142,0.9963057994842529,1.1559556722640991,0.03638308122754097
G4_seed3407,43_r_t,vessel_core,65,9,9,0.13846153846153847,0.13846153846153847,0.9540960788726807,0.9703994393348694,0.9976950407028198,1.1251872777938843,0.05376593396067619
G4_seed3407,43_r_t,vessel_edge,47,5,5,0.10638297872340426,0.10638297872340426,0.958029568195343,0.9708778262138367,0.9982466578483582,1.1409324407577515,0.04975401982665062
G4_seed3407,43_r_t,non_vessel,165,18,17,0.10909090909090909,0.10303030303030303,0.956706166267395,0.974577009677887,0.9972828388214111,1.1336840391159058,0.05098704248666763
