pair_id,seed_label,detected_query,detected_refer,detected_query_region_count,ratio_matches,inverse_consistency_matches,returned_matches,legacy_lmeds_inliers,ransac_inliers,ransac_inlier_rate,match_grid_cells,inlier_grid_cells,inlier_grid_coverage,match_hull_fraction,inlier_hull_fraction,control_point_count,legacy_lmeds_control_mean_error,legacy_lmeds_control_median_error,legacy_lmeds_control_points_under25,ransac_control_mean_error,ransac_control_median_error,ransac_control_points_under25,final_outer_border_matches,inlier_outer_border_matches,detected_vessel_core_count,detected_vessel_edge_count,detected_non_vessel_count,detected_grid_occupied_cells,detected_grid_coverage,detected_grid_entropy,final_vessel_core_count,final_vessel_edge_count,final_non_vessel_count,final_grid_occupied_cells,final_grid_coverage,final_grid_entropy,inlier_vessel_core_count,inlier_vessel_edge_count,inlier_non_vessel_count,inlier_grid_occupied_cells,inlier_grid_entropy
01_r_t,G4_seed3407_epoch149,503,434,503,210,196,178,178,161,0.9044943820224719,37,33,0.515625,0.4752350378619319,0.42415712238192715,12,2.916419744491577,2.5032742023468018,12,4.196511268615723,4.2821197509765625,12,0,0,215,84,204,48,0.75,0.9055224823984473,87,26,65,37,0.578125,0.8098105399219111,79,23,59,33,0.7866061545020168
02_r_t,G4_seed3407_epoch149,468,481,468,205,195,152,151,137,0.9013157894736842,41,38,0.59375,0.49877648666488666,0.4651850311869586,12,3.6211159229278564,2.9109482765197754,12,3.858388662338257,3.754631519317627,12,0,0,253,82,133,49,0.765625,0.9089204467817439,90,26,36,41,0.640625,0.8235523064488885,82,24,31,38,0.8018080799664157
03_r_t,G4_seed3407_epoch149,486,434,486,189,171,156,156,151,0.967948717948718,36,36,0.5625,0.4362644346297615,0.43519701832651003,12,3.6460835933685303,2.934189796447754,12,3.7221431732177734,3.3316307067871094,12,0,0,270,63,153,52,0.8125,0.9119223947911772,101,18,37,36,0.5625,0.7943450101607232,98,18,35,36,0.794049912771781
04_r_t,G4_seed3407_epoch149,489,481,489,184,169,140,140,139,0.9928571428571429,35,35,0.546875,0.4385981258158301,0.4385981258158301,12,3.469529867172241,3.0287821292877197,12,3.517561912536621,3.116780996322632,12,0,0,325,56,108,49,0.765625,0.9049355591361966,98,16,26,35,0.546875,0.801909361094229,98,16,25,35,0.8030299832030184
05_r_t,G4_seed3407_epoch149,342,437,342,74,60,36,36,29,0.8055555555555556,18,16,0.25,0.20860247967392548,0.2019143438143004,12,11.045730590820312,9.36302375793457,11,12.745757102966309,11.603720664978027,11,0,0,139,64,139,40,0.625,0.8379420114547222,20,2,14,18,0.28125,0.6323681139657075,15,1,13,16,0.5991509102046488
06_r_t,G4_seed3407_epoch149,353,477,353,68,57,34,32,23,0.6764705882352942,16,12,0.1875,0.23704893707847507,0.1827894366926726,12,5.889930248260498,4.9411821365356445,12,10.245076179504395,10.487808227539062,12,0,0,172,50,131,38,0.59375,0.8318094877089827,19,7,8,16,0.25,0.6230364393214918,14,4,5,12,0.5574094892068663
07_r_t,G4_seed3407_epoch149,677,434,677,140,115,109,109,105,0.963302752293578,31,31,0.484375,0.5316090821392878,0.5291755073246076,12,3.747671127319336,3.675642490386963,12,3.770728826522827,3.8147144317626953,12,0,0,300,114,263,61,0.953125,0.9742119248527756,53,18,38,31,0.484375,0.7865482959559464,51,18,36,31,0.7868382817292273
08_r_t,G4_seed3407_epoch149,681,481,681,137,116,106,106,93,0.8773584905660378,34,30,0.46875,0.5443170825561571,0.4632585484931243,12,5.133631229400635,5.123734474182129,12,6.3670477867126465,5.187210559844971,12,0,0,346,94,241,61,0.953125,0.9745908027451956,55,9,42,34,0.53125,0.8075431205876095,43,8,42,30,0.7808063424138977
09_r_t,G4_seed3407_epoch149,366,437,366,65,46,28,28,24,0.8571428571428571,13,10,0.15625,0.13737012656464334,0.09402696062671467,12,11.435357093811035,11.321487426757812,12,21.70792579650879,14.790624618530273,9,0,0,177,70,119,40,0.625,0.8485885486586844,15,5,8,13,0.203125,0.5927761179104705,13,4,7,10,0.5348579861712075
10_r_t,G4_seed3407_epoch149,365,477,365,45,36,18,18,15,0.8333333333333334,13,10,0.15625,0.1950101987597165,0.14232661661951304,12,16.925867080688477,15.020797729492188,9,22.355714797973633,22.313716888427734,6,0,0,225,53,87,39,0.609375,0.8387427797277877,9,3,6,13,0.203125,0.5954052085536867,7,3,5,10,0.5316496825773812
11_r_t,G4_seed3407_epoch149,484,464,484,226,207,172,171,136,0.7906976744186046,36,33,0.515625,0.394830001409161,0.35254960803073454,12,5.323009967803955,5.239619255065918,12,5.965953826904297,5.3425517082214355,12,0,0,311,56,117,50,0.78125,0.9088685162804186,123,15,34,36,0.5625,0.80888829386301,100,12,24,33,0.7893941606133149
12_r_t,G4_seed3407_epoch149,424,424,424,196,186,163,162,135,0.8282208588957055,31,29,0.453125,0.37222420771775244,0.35916860889848107,12,3.8359758853912354,3.8148133754730225,12,3.7669107913970947,3.1855199337005615,12,0,0,250,56,118,48,0.75,0.8935886735216599,112,16,35,31,0.484375,0.7741178541195798,94,15,26,29,0.7589691260728358
13_r_t,G4_seed3407_epoch149,342,426,342,88,78,58,58,58,1.0,17,17,0.265625,0.2145674591692387,0.2145674591692387,12,7.748144149780273,7.073758125305176,12,7.748144149780273,7.073758125305176,12,0,0,216,49,77,40,0.625,0.8337840885734812,47,2,9,17,0.265625,0.6379721027458183,47,2,9,17,0.6379721027458183
14_r_t,G4_seed3407_epoch149,642,470,642,137,38,36,36,36,1.0,18,18,0.28125,0.3818828530428787,0.3818828530428787,12,7.5035247802734375,7.663419246673584,12,7.5035247802734375,7.663419246673584,12,0,0,270,123,249,61,0.953125,0.973372037082326,19,6,11,18,0.28125,0.6550375443001508,19,6,11,18,0.6550375443001508
15_r_t,G4_seed3407_epoch149,700,427,700,188,152,145,144,138,0.9517241379310345,38,38,0.59375,0.5479436451480153,0.5352391520450647,12,4.751059532165527,5.095346927642822,12,4.257771015167236,4.215781211853027,12,0,0,434,109,157,62,0.96875,0.9762145425012558,98,14,33,38,0.59375,0.8294030676468435,93,12,33,38,0.828765746597631
16_r_t,G4_seed3407_epoch149,340,471,340,64,49,28,28,28,1.0,17,17,0.265625,0.23019625467964105,0.23019625467964105,12,11.942241668701172,10.955821990966797,12,11.942241668701172,10.955821990966797,12,0,0,234,44,62,40,0.625,0.8318934230558471,22,1,5,17,0.265625,0.6448885435185864,22,1,5,17,0.6448885435185864
17_r_t,G4_seed3407_epoch149,303,426,303,81,69,40,40,38,0.95,14,13,0.203125,0.15864117155349794,0.15483751196702103,12,13.09692668914795,12.168107032775879,11,13.728861808776855,12.958763122558594,11,0,0,193,52,58,39,0.609375,0.825322643705409,30,4,6,14,0.21875,0.5706821699885816,30,3,5,13,0.5537839035736172
18_r_t,G4_seed3407_epoch149,350,468,350,188,172,144,139,142,0.9861111111111112,26,26,0.40625,0.3000643450645862,0.2922039546539209,12,3.9341888427734375,3.421412706375122,12,5.460892200469971,5.863368988037109,12,0,0,182,58,110,40,0.625,0.8301907457773787,75,32,37,26,0.40625,0.736656717432637,73,32,37,26,0.7346904349291821
19_r_t,G4_seed3407_epoch149,342,423,342,122,114,91,91,85,0.9340659340659341,18,16,0.25,0.19052591485196615,0.1674989997713763,12,6.39016580581665,4.044863700866699,12,5.40502405166626,3.773442268371582,12,0,0,216,49,77,40,0.625,0.8337840885734812,62,10,19,18,0.28125,0.6407453722702011,59,7,19,16,0.6230599655391429
20_r_t,G4_seed3407_epoch149,642,486,642,244,97,96,93,86,0.8958333333333334,39,34,0.53125,0.6181543912906381,0.45165418285598236,12,2.8206987380981445,2.726951837539673,12,3.476384401321411,3.7707111835479736,12,1,0,270,123,249,61,0.953125,0.973372037082326,48,20,28,39,0.609375,0.8311741487030788,43,19,24,34,0.7999388633574606
21_r_t,G4_seed3407_epoch149,700,431,700,183,149,133,132,127,0.9548872180451128,36,35,0.546875,0.4596410047084854,0.4448421441512701,12,2.954821825027466,3.1920523643493652,12,3.319298028945923,3.1254892349243164,12,0,0,434,109,157,62,0.96875,0.9762145425012558,93,10,30,36,0.5625,0.8045007571960706,89,10,28,35,0.7934539436680947
22_r_t,G4_seed3407_epoch149,340,468,340,166,156,111,111,90,0.8108108108108109,26,23,0.359375,0.3436782202003315,0.2760619838105853,12,7.154988765716553,5.082808017730713,12,5.434375762939453,4.096348762512207,12,0,0,234,44,62,40,0.625,0.8318934230558471,84,12,15,26,0.40625,0.726381891678543,71,11,8,23,0.7084498624622498
23_r_t,G4_seed3407_epoch149,303,423,303,97,92,72,70,63,0.875,18,16,0.25,0.18418841717392548,0.1510700213620256,12,4.630342960357666,4.52781343460083,12,4.943968296051025,4.557041168212891,12,0,0,193,52,58,39,0.609375,0.825322643705409,49,14,9,18,0.28125,0.6327462965711952,44,11,8,16,0.6030904372703682
24_r_t,G4_seed3407_epoch149,458,408,458,152,145,110,110,106,0.9636363636363636,21,21,0.328125,0.22496004286816185,0.2224935475258099,12,11.076210975646973,8.40447998046875,10,11.397000312805176,8.976280212402344,10,0,0,229,90,139,46,0.71875,0.8966934336962846,74,18,18,21,0.328125,0.6753140729996964,70,18,18,21,0.670482803270618
