pair_id,region,final_matches,ransac_inliers
01_r_t,vessel_core,87,79
01_r_t,vessel_edge,26,23
01_r_t,non_vessel,65,59
02_r_t,vessel_core,90,82
02_r_t,vessel_edge,26,24
02_r_t,non_vessel,36,31
03_r_t,vessel_core,101,98
03_r_t,vessel_edge,18,18
03_r_t,non_vessel,37,35
04_r_t,vessel_core,98,98
04_r_t,vessel_edge,16,16
04_r_t,non_vessel,26,25
05_r_t,vessel_core,20,15
05_r_t,vessel_edge,2,1
05_r_t,non_vessel,14,13
06_r_t,vessel_core,19,14
06_r_t,vessel_edge,7,4
06_r_t,non_vessel,8,5
07_r_t,vessel_core,53,51
07_r_t,vessel_edge,18,18
07_r_t,non_vessel,38,36
08_r_t,vessel_core,55,43
08_r_t,vessel_edge,9,8
08_r_t,non_vessel,42,42
09_r_t,vessel_core,15,13
09_r_t,vessel_edge,5,4
09_r_t,non_vessel,8,7
10_r_t,vessel_core,9,7
10_r_t,vessel_edge,3,3
10_r_t,non_vessel,6,5
11_r_t,vessel_core,123,100
11_r_t,vessel_edge,15,12
11_r_t,non_vessel,34,24
12_r_t,vessel_core,112,94
12_r_t,vessel_edge,16,15
12_r_t,non_vessel,35,26
13_r_t,vessel_core,47,47
13_r_t,vessel_edge,2,2
13_r_t,non_vessel,9,9
14_r_t,vessel_core,19,19
14_r_t,vessel_edge,6,6
14_r_t,non_vessel,11,11
15_r_t,vessel_core,98,93
15_r_t,vessel_edge,14,12
15_r_t,non_vessel,33,33
16_r_t,vessel_core,22,22
16_r_t,vessel_edge,1,1
16_r_t,non_vessel,5,5
17_r_t,vessel_core,30,30
17_r_t,vessel_edge,4,3
17_r_t,non_vessel,6,5
18_r_t,vessel_core,75,73
18_r_t,vessel_edge,32,32
18_r_t,non_vessel,37,37
19_r_t,vessel_core,62,59
19_r_t,vessel_edge,10,7
19_r_t,non_vessel,19,19
20_r_t,vessel_core,48,43
20_r_t,vessel_edge,20,19
20_r_t,non_vessel,28,24
21_r_t,vessel_core,93,89
21_r_t,vessel_edge,10,10
21_r_t,non_vessel,30,28
22_r_t,vessel_core,84,71
22_r_t,vessel_edge,12,11
22_r_t,non_vessel,15,8
23_r_t,vessel_core,49,44
23_r_t,vessel_edge,14,11
23_r_t,non_vessel,9,8
24_r_t,vessel_core,74,70
24_r_t,vessel_edge,18,18
24_r_t,non_vessel,18,18
25_r_t,vessel_core,116,109
25_r_t,vessel_edge,34,33
25_r_t,non_vessel,39,37
26_r_t,vessel_core,106,104
26_r_t,vessel_edge,13,13
26_r_t,non_vessel,20,18
27_r_t,vessel_core,131,126
27_r_t,vessel_edge,26,24
27_r_t,non_vessel,40,37
28_r_t,vessel_core,16,15
28_r_t,vessel_edge,5,5
28_r_t,non_vessel,11,9
29_r_t,vessel_core,30,27
29_r_t,vessel_edge,10,10
29_r_t,non_vessel,11,8
30_r_t,vessel_core,28,23
30_r_t,vessel_edge,5,5
30_r_t,non_vessel,8,7
31_r_t,vessel_core,30,30
31_r_t,vessel_edge,5,5
31_r_t,non_vessel,18,18
32_r_t,vessel_core,24,19
32_r_t,vessel_edge,1,1
32_r_t,non_vessel,3,2
33_r_t,vessel_core,99,94
33_r_t,vessel_edge,19,16
33_r_t,non_vessel,36,32
34_r_t,vessel_core,93,83
34_r_t,vessel_edge,23,21
34_r_t,non_vessel,39,35
35_r_t,vessel_core,8,7
35_r_t,vessel_edge,3,3
35_r_t,non_vessel,4,3
36_r_t,vessel_core,10,9
36_r_t,vessel_edge,2,1
36_r_t,non_vessel,13,11
37_r_t,vessel_core,50,45
37_r_t,vessel_edge,8,7
37_r_t,non_vessel,8,8
38_r_t,vessel_core,16,16
38_r_t,vessel_edge,4,4
38_r_t,non_vessel,9,9
39_r_t,vessel_core,13,11
39_r_t,vessel_edge,1,0
39_r_t,non_vessel,1,1
40_r_t,vessel_core,5,5
40_r_t,vessel_edge,1,1
40_r_t,non_vessel,3,3
41_r_t,vessel_core,134,132
41_r_t,vessel_edge,26,24
41_r_t,non_vessel,54,53
42_r_t,vessel_core,120,116
42_r_t,vessel_edge,32,31
42_r_t,non_vessel,40,34
43_r_t,vessel_core,6,6
43_r_t,vessel_edge,2,1
43_r_t,non_vessel,6,4
44_r_t,vessel_core,16,13
44_r_t,vessel_edge,7,4
44_r_t,non_vessel,10,8
45_r_t,vessel_core,46,40
45_r_t,vessel_edge,11,11
45_r_t,non_vessel,10,7
46_r_t,vessel_core,33,32
46_r_t,vessel_edge,5,5
46_r_t,non_vessel,17,17
47_r_t,vessel_core,23,20
47_r_t,vessel_edge,3,2
47_r_t,non_vessel,1,0
48_r_t,vessel_core,14,11
48_r_t,vessel_edge,4,2
48_r_t,non_vessel,5,5
49_r_t,vessel_core,23,19
49_r_t,vessel_edge,7,6
49_r_t,non_vessel,13,9
50_r_t,vessel_core,42,33
50_r_t,vessel_edge,10,6
50_r_t,non_vessel,40,35
51_r_t,vessel_core,50,46
51_r_t,vessel_edge,12,11
51_r_t,non_vessel,14,14
52_r_t,vessel_core,52,49
52_r_t,vessel_edge,9,7
52_r_t,non_vessel,18,17
53_r_t,vessel_core,37,29
53_r_t,vessel_edge,6,6
53_r_t,non_vessel,6,4
54_r_t,vessel_core,28,23
54_r_t,vessel_edge,8,4
54_r_t,non_vessel,6,6
55_r_t,vessel_core,111,100
55_r_t,vessel_edge,39,37
55_r_t,non_vessel,36,32
56_r_t,vessel_core,128,121
56_r_t,vessel_edge,30,27
56_r_t,non_vessel,51,46
57_r_t,vessel_core,125,119
