pair_id,g0_detected_query,g4_detected_query,delta_g4_minus_g0_detected_query,g0_ratio_matches,g4_ratio_matches,delta_g4_minus_g0_ratio_matches,g0_inverse_consistency_matches,g4_inverse_consistency_matches,delta_g4_minus_g0_inverse_consistency_matches,g0_returned_matches,g4_returned_matches,delta_g4_minus_g0_returned_matches,g0_ransac_inliers,g4_ransac_inliers,delta_g4_minus_g0_ransac_inliers,g0_match_grid_cells,g4_match_grid_cells,delta_g4_minus_g0_match_grid_cells,g0_inlier_grid_cells,g4_inlier_grid_cells,delta_g4_minus_g0_inlier_grid_cells,g0_match_hull_fraction,g4_match_hull_fraction,delta_g4_minus_g0_match_hull_fraction,g0_inlier_hull_fraction,g4_inlier_hull_fraction,delta_g4_minus_g0_inlier_hull_fraction,g0_legacy_lmeds_control_mean_error,g4_legacy_lmeds_control_mean_error,delta_g4_minus_g0_legacy_lmeds_control_mean_error
01_r_t,462.0,503.0,41.0,215.0,210.0,-5.0,201.0,196.0,-5.0,180.0,178.0,-2.0,161.0,161.0,0.0,38.0,37.0,-1.0,34.0,33.0,-1.0,0.49640513286905186,0.4752350378619319,-0.02117009500711997,0.4740789695695384,0.42415712238192715,-0.049921847187611224,2.7912261486053467,2.916419744491577,0.12519359588623047
02_r_t,448.0,468.0,20.0,201.0,205.0,4.0,184.0,195.0,11.0,169.0,152.0,-17.0,130.0,137.0,7.0,41.0,41.0,0.0,35.0,38.0,3.0,0.5065027682597603,0.49877648666488666,-0.007726281594873596,0.4225351965779637,0.4651850311869586,0.04264983460899491,3.340975522994995,3.6211159229278564,0.28014039993286133
03_r_t,462.0,486.0,24.0,196.0,189.0,-7.0,179.0,171.0,-8.0,166.0,156.0,-10.0,144.0,151.0,7.0,40.0,36.0,-4.0,36.0,36.0,0.0,0.46593921046190817,0.4362644346297615,-0.02967477583214667,0.4014909526299395,0.43519701832651003,0.03370606569657053,3.7787389755249023,3.6460835933685303,-0.13265538215637207
04_r_t,484.0,489.0,5.0,178.0,184.0,6.0,165.0,169.0,4.0,141.0,140.0,-1.0,120.0,139.0,19.0,36.0,35.0,-1.0,32.0,35.0,3.0,0.45684421168565326,0.4385981258158301,-0.01824608586982318,0.4200140035377358,0.4385981258158301,0.01858412227809425,4.7744598388671875,3.469529867172241,-1.3049299716949463
05_r_t,337.0,342.0,5.0,73.0,74.0,1.0,62.0,60.0,-2.0,38.0,36.0,-2.0,35.0,29.0,-6.0,16.0,18.0,2.0,16.0,16.0,0.0,0.19174103634402148,0.20860247967392548,0.016861443329903997,0.19143650245056013,0.2019143438143004,0.010477841363740276,8.113804817199707,11.045730590820312,2.9319257736206055
06_r_t,342.0,353.0,11.0,69.0,68.0,-1.0,59.0,57.0,-2.0,43.0,34.0,-9.0,34.0,23.0,-11.0,19.0,16.0,-3.0,14.0,12.0,-2.0,0.2570167824074074,0.23704893707847507,-0.01996784532893231,0.23728336566215136,0.1827894366926726,-0.054493928969478744,6.527729034423828,5.889930248260498,-0.6377987861633301
07_r_t,661.0,677.0,16.0,131.0,140.0,9.0,42.0,115.0,73.0,40.0,109.0,69.0,40.0,105.0,65.0,18.0,31.0,13.0,18.0,31.0,13.0,0.3596005536879573,0.5316090821392878,0.17200852845133052,0.3596005536879573,0.5291755073246076,0.16957495363665032,3.4540412425994873,3.747671127319336,0.29362988471984863
08_r_t,648.0,681.0,33.0,138.0,137.0,-1.0,128.0,116.0,-12.0,108.0,106.0,-2.0,103.0,93.0,-10.0,33.0,34.0,1.0,32.0,30.0,-2.0,0.4635885700313721,0.5443170825561571,0.08072851252478497,0.43710584472152597,0.4632585484931243,0.02615270377159834,5.753093719482422,5.133631229400635,-0.6194624900817871
09_r_t,336.0,366.0,30.0,56.0,65.0,9.0,45.0,46.0,1.0,31.0,28.0,-3.0,25.0,24.0,-1.0,19.0,13.0,-6.0,16.0,10.0,-6.0,0.2404066241926726,0.13737012656464334,-0.10303649762802927,0.18961577378400776,0.09402696062671467,-0.09558881315729309,6.393300533294678,11.435357093811035,5.042056560516357
10_r_t,341.0,365.0,24.0,50.0,45.0,-5.0,43.0,36.0,-7.0,27.0,18.0,-9.0,24.0,15.0,-9.0,14.0,13.0,-1.0,13.0,10.0,-3.0,0.2434871274148377,0.1950101987597165,-0.04847692865512118,0.21933406207133058,0.14232661661951304,-0.07700744545181754,10.302130699157715,16.925867080688477,6.623736381530762
11_r_t,434.0,484.0,50.0,217.0,226.0,9.0,207.0,207.0,0.0,185.0,172.0,-13.0,148.0,136.0,-12.0,40.0,36.0,-4.0,33.0,33.0,0.0,0.4219697938916578,0.394830001409161,-0.02713979248249676,0.33487054723656107,0.35254960803073454,0.017679060794173473,4.329211711883545,5.323009967803955,0.9937982559204102
12_r_t,404.0,424.0,20.0,193.0,196.0,3.0,187.0,186.0,-1.0,163.0,163.0,0.0,154.0,135.0,-19.0,32.0,31.0,-1.0,31.0,29.0,-2.0,0.38163765834519997,0.37222420771775244,-0.009413450627447528,0.3713390784457696,0.35916860889848107,-0.01217046954728851,4.391021728515625,3.8359758853912354,-0.5550458431243896
13_r_t,313.0,342.0,29.0,89.0,88.0,-1.0,78.0,78.0,0.0,49.0,58.0,9.0,36.0,58.0,22.0,16.0,17.0,1.0,11.0,17.0,6.0,0.1802154108439072,0.2145674591692387,0.03435204832533151,0.12490310285208048,0.2145674591692387,0.08966435631715822,8.722037315368652,7.748144149780273,-0.9738931655883789
14_r_t,600.0,642.0,42.0,124.0,137.0,13.0,34.0,38.0,4.0,33.0,36.0,3.0,31.0,36.0,5.0,20.0,18.0,-2.0,18.0,18.0,0.0,0.38426298307403706,0.3818828530428787,-0.002380130031158334,0.3527673040847848,0.3818828530428787,0.02911554895809393,6.107729434967041,7.5035247802734375,1.3957953453063965
15_r_t,670.0,700.0,30.0,175.0,188.0,13.0,68.0,152.0,84.0,64.0,145.0,81.0,57.0,138.0,81.0,24.0,38.0,14.0,22.0,38.0,16.0,0.4094944323896766,0.5479436451480153,0.1384492127583387,0.34232035204078903,0.5352391520450647,0.19291880000427564,5.094037055969238,4.751059532165527,-0.34297752380371094
16_r_t,323.0,340.0,17.0,57.0,64.0,7.0,48.0,49.0,1.0,34.0,28.0,-6.0,28.0,28.0,0.0,18.0,17.0,-1.0,15.0,17.0,2.0,0.20342015675011432,0.23019625467964105,0.026776097929526732,0.1713198507873228,0.23019625467964105,0.05887640389231824,11.132916450500488,11.942241668701172,0.8093252182006836
17_r_t,279.0,303.0,24.0,74.0,81.0,7.0,65.0,69.0,4.0,48.0,40.0,-8.0,43.0,38.0,-5.0,17.0,14.0,-3.0,15.0,13.0,-2.0,0.1911300708018976,0.15864117155349794,-0.03248889924839965,0.15789792131058528,0.15483751196702103,-0.0030604093435642465,10.12206745147705,13.09692668914795,2.9748592376708984
18_r_t,328.0,350.0,22.0,185.0,188.0,3.0,173.0,172.0,-1.0,130.0,144.0,14.0,124.0,142.0,18.0,25.0,26.0,1.0,23.0,26.0,3.0,0.2616371465263489,0.3000643450645862,0.038427198538237284,0.2386875928783722,0.2922039546539209,0.05351636177554869,5.127163410186768,3.9341888427734375,-1.19297456741333
19_r_t,313.0,342.0,29.0,121.0,122.0,1.0,116.0,114.0,-2.0,101.0,91.0,-10.0,77.0,85.0,8.0,22.0,18.0,-4.0,17.0,16.0,-1.0,0.21892291898862598,0.19052591485196615,-0.028397004136659826,0.14930242984110653,0.1674989997713763,0.018196569930269774,3.613823652267456,6.39016580581665,2.7763421535491943
20_r_t,600.0,642.0,42.0,226.0,244.0,18.0,106.0,97.0,-9.0,105.0,96.0,-9.0,105.0,86.0,-19.0,42.0,39.0,-3.0,42.0,34.0,-8.0,0.6467924445109535,0.6181543912906381,-0.02863805322031543,0.6467924445109535,0.45165418285598236,-0.19513826165497117,2.7916834354400635,2.8206987380981445,0.029015302658081055
21_r_t,670.0,700.0,30.0,169.0,183.0,14.0,65.0,149.0,84.0,65.0,133.0,68.0,65.0,127.0,62.0,27.0,36.0,9.0,27.0,35.0,8.0,0.42089754501386895,0.4596410047084854,0.038743459694616456,0.42089754501386895,0.4448421441512701,0.023944599137401157,2.501722574234009,2.954821825027466,0.45309925079345703
22_r_t,323.0,340.0,17.0,158.0,166.0,8.0,149.0,156.0,7.0,103.0,111.0,8.0,94.0,90.0,-4.0,23.0,26.0,3.0,22.0,23.0,1.0,0.2483475017504001,0.3436782202003315,0.0953307184499314,0.24460791931012804,0.2760619838105853,0.031454064500457235,5.990293025970459,7.154988765716553,1.1646957397460938
