method,pair_id,region,detected_query_count,forward_ratio_count,bidirectional_ratio_iccl_count,returned_after_outlier_count,ransac_inlier_count,forward_ratio_rate,bidirectional_rate
G0_seed3407,35_r_t,vessel_core,73,14,12,9,7,0.1917808219178082,0.1643835616438356
G0_seed3407,35_r_t,vessel_edge,34,2,2,0,0,0.058823529411764705,0.058823529411764705
G0_seed3407,35_r_t,non_vessel,156,16,9,5,5,0.10256410256410256,0.057692307692307696
G0_seed3407,39_r_t,vessel_core,188,28,21,16,16,0.14893617021276595,0.11170212765957446
G0_seed3407,39_r_t,vessel_edge,58,1,1,1,1,0.017241379310344827,0.017241379310344827
G0_seed3407,39_r_t,non_vessel,72,5,4,3,3,0.06944444444444445,0.05555555555555555
G0_seed3407,40_r_t,vessel_core,180,15,13,9,9,0.08333333333333333,0.07222222222222222
G0_seed3407,40_r_t,vessel_edge,57,5,2,1,1,0.08771929824561403,0.03508771929824561
G0_seed3407,40_r_t,non_vessel,83,4,3,1,1,0.04819277108433735,0.03614457831325301
G0_seed3407,43_r_t,vessel_core,73,15,14,12,11,0.2054794520547945,0.1917808219178082
G0_seed3407,43_r_t,vessel_edge,34,0,0,0,0,0.0,0.0
G0_seed3407,43_r_t,non_vessel,156,21,16,11,7,0.1346153846153846,0.10256410256410256
G4_seed3407,35_r_t,vessel_core,65,13,10,8,7,0.2,0.15384615384615385
G4_seed3407,35_r_t,vessel_edge,47,5,3,3,3,0.10638297872340426,0.06382978723404255
G4_seed3407,35_r_t,non_vessel,165,17,12,4,3,0.10303030303030303,0.07272727272727272
G4_seed3407,39_r_t,vessel_core,204,17,16,13,11,0.08333333333333333,0.0784313725490196
G4_seed3407,39_r_t,vessel_edge,48,3,3,1,0,0.0625,0.0625
G4_seed3407,39_r_t,non_vessel,80,6,4,1,1,0.075,0.05
G4_seed3407,40_r_t,vessel_core,177,16,13,5,5,0.0903954802259887,0.07344632768361582
G4_seed3407,40_r_t,vessel_edge,52,4,3,1,1,0.07692307692307693,0.057692307692307696
G4_seed3407,40_r_t,non_vessel,84,4,3,3,3,0.047619047619047616,0.03571428571428571
G4_seed3407,43_r_t,vessel_core,65,9,8,6,6,0.13846153846153847,0.12307692307692308
G4_seed3407,43_r_t,vessel_edge,47,5,4,2,1,0.10638297872340426,0.0851063829787234
G4_seed3407,43_r_t,non_vessel,165,18,14,6,4,0.10909090909090909,0.08484848484848485
