pair_id,seed_label,detected_query,detected_refer,ratio_matches,inverse_consistency_matches,returned_matches,legacy_lmeds_inliers,ransac_inliers,ransac_inlier_rate,match_grid_cells,inlier_grid_cells,inlier_grid_coverage,match_hull_fraction,inlier_hull_fraction,control_point_count,legacy_lmeds_control_mean_error,legacy_lmeds_control_median_error,legacy_lmeds_control_points_under25,ransac_control_mean_error,ransac_control_median_error,ransac_control_points_under25,final_outer_border_matches,inlier_outer_border_matches,detected_vessel_core_count,detected_vessel_edge_count,detected_non_vessel_count,detected_grid_occupied_cells,detected_grid_coverage,detected_grid_entropy,final_vessel_core_count,final_vessel_edge_count,final_non_vessel_count,final_grid_occupied_cells,final_grid_coverage,final_grid_entropy,inlier_vessel_core_count,inlier_vessel_edge_count,inlier_non_vessel_count,inlier_grid_occupied_cells,inlier_grid_entropy
01_r_t,G0_seed3407_epoch149,462,428,215,201,180,178,161,0.8944444444444445,38,34,0.53125,0.49640513286905186,0.4740789695695384,12,2.7912261486053467,2.566943407058716,12,3.3686106204986572,3.3895418643951416,12,0,0,86,25,69,38,0.59375,0.832040371853287,86,25,69,38,0.59375,0.832040371853287,76,23,62,34,0.8069154716208802
02_r_t,G0_seed3407_epoch149,448,461,201,184,169,168,130,0.7692307692307693,41,35,0.546875,0.5065027682597603,0.4225351965779637,12,3.340975522994995,3.1807470321655273,12,3.9928712844848633,3.8419084548950195,12,0,0,106,25,38,41,0.640625,0.840063250738512,106,25,38,41,0.640625,0.840063250738512,77,22,31,35,0.7912019378388339
03_r_t,G0_seed3407_epoch149,462,428,196,179,166,165,144,0.8674698795180723,40,36,0.5625,0.46593921046190817,0.4014909526299395,12,3.7787389755249023,2.8203845024108887,12,4.437341690063477,3.6879031658172607,12,0,0,94,22,50,40,0.625,0.8221260049522453,94,22,50,40,0.625,0.8221260049522453,82,19,43,36,0.8013041497336689
04_r_t,G0_seed3407_epoch149,484,461,178,165,141,140,120,0.851063829787234,36,32,0.5,0.45684421168565326,0.4200140035377358,12,4.7744598388671875,4.798208236694336,12,5.984241962432861,5.922124862670898,12,0,0,102,15,24,36,0.5625,0.8022602759975399,102,15,24,36,0.5625,0.8022602759975399,87,13,20,32,0.7726890363455499
05_r_t,G0_seed3407_epoch149,337,429,73,62,38,38,35,0.9210526315789473,16,16,0.25,0.19174103634402148,0.19143650245056013,12,8.113804817199707,6.983705043792725,12,7.378197193145752,6.877992630004883,12,0,0,23,6,9,16,0.25,0.6175090132796736,23,6,9,16,0.25,0.6175090132796736,23,4,8,16,0.6155249670789686
06_r_t,G0_seed3407_epoch149,342,459,69,59,43,43,34,0.7906976744186046,19,14,0.21875,0.2570167824074074,0.23728336566215136,12,6.527729034423828,5.1567535400390625,12,5.053849697113037,5.427886962890625,12,0,0,27,6,10,19,0.296875,0.6674804998970019,27,6,10,19,0.296875,0.6674804998970019,23,4,7,14,0.5936246746156094
07_r_t,G0_seed3407_epoch149,661,426,131,42,40,40,40,1.0,18,18,0.28125,0.3596005536879573,0.3596005536879573,12,3.4540412425994873,3.182417869567871,12,3.4540412425994873,3.182417869567871,12,0,0,19,6,15,18,0.28125,0.6478876908760016,19,6,15,18,0.28125,0.6478876908760016,19,6,15,18,0.6478876908760016
08_r_t,G0_seed3407_epoch149,648,458,138,128,108,107,103,0.9537037037037037,33,32,0.5,0.4635885700313721,0.43710584472152597,12,5.753093719482422,6.1453776359558105,12,6.034976482391357,5.779480934143066,12,0,0,58,13,37,33,0.515625,0.7652133775326596,58,13,37,33,0.515625,0.7652133775326596,56,11,36,32,0.7654605509629172
09_r_t,G0_seed3407_epoch149,336,429,56,45,31,31,25,0.8064516129032258,19,16,0.25,0.2404066241926726,0.18961577378400776,12,6.393300533294678,6.1367926597595215,12,7.841867923736572,6.822307109832764,12,0,0,16,3,12,19,0.296875,0.6777973689121838,16,3,12,19,0.296875,0.6777973689121838,12,3,10,16,0.6388782815858514
10_r_t,G0_seed3407_epoch149,341,459,50,43,27,25,24,0.8888888888888888,14,13,0.203125,0.2434871274148377,0.21933406207133058,12,10.302130699157715,10.953142166137695,12,10.707417488098145,10.472265243530273,12,0,0,17,5,5,14,0.21875,0.5979764663832513,17,5,5,14,0.21875,0.5979764663832513,15,5,4,13,0.5783625869107242
