pair_id,region,final_matches,ransac_inliers
01_r_t,vessel_core,86,76
01_r_t,vessel_edge,25,23
01_r_t,non_vessel,69,62
02_r_t,vessel_core,106,77
02_r_t,vessel_edge,25,22
02_r_t,non_vessel,38,31
03_r_t,vessel_core,94,82
03_r_t,vessel_edge,22,19
03_r_t,non_vessel,50,43
04_r_t,vessel_core,102,87
04_r_t,vessel_edge,15,13
04_r_t,non_vessel,24,20
05_r_t,vessel_core,23,23
05_r_t,vessel_edge,6,4
05_r_t,non_vessel,9,8
06_r_t,vessel_core,27,23
06_r_t,vessel_edge,6,4
06_r_t,non_vessel,10,7
07_r_t,vessel_core,19,19
07_r_t,vessel_edge,6,6
07_r_t,non_vessel,15,15
08_r_t,vessel_core,58,56
08_r_t,vessel_edge,13,11
08_r_t,non_vessel,37,36
09_r_t,vessel_core,16,12
09_r_t,vessel_edge,3,3
09_r_t,non_vessel,12,10
10_r_t,vessel_core,17,15
10_r_t,vessel_edge,5,5
10_r_t,non_vessel,5,4
11_r_t,vessel_core,117,90
11_r_t,vessel_edge,25,20
11_r_t,non_vessel,43,38
12_r_t,vessel_core,106,99
12_r_t,vessel_edge,22,22
12_r_t,non_vessel,35,33
13_r_t,vessel_core,37,28
13_r_t,vessel_edge,2,2
13_r_t,non_vessel,10,6
14_r_t,vessel_core,11,11
14_r_t,vessel_edge,4,3
14_r_t,non_vessel,18,17
15_r_t,vessel_core,43,36
15_r_t,vessel_edge,5,5
15_r_t,non_vessel,16,16
16_r_t,vessel_core,20,17
16_r_t,vessel_edge,8,6
16_r_t,non_vessel,6,5
17_r_t,vessel_core,41,38
17_r_t,vessel_edge,1,1
17_r_t,non_vessel,6,4
18_r_t,vessel_core,71,69
18_r_t,vessel_edge,24,23
18_r_t,non_vessel,35,32
19_r_t,vessel_core,65,52
19_r_t,vessel_edge,13,10
19_r_t,non_vessel,23,15
20_r_t,vessel_core,47,47
20_r_t,vessel_edge,18,18
20_r_t,non_vessel,40,40
21_r_t,vessel_core,44,44
21_r_t,vessel_edge,5,5
21_r_t,non_vessel,16,16
22_r_t,vessel_core,78,71
22_r_t,vessel_edge,12,11
22_r_t,non_vessel,13,12
23_r_t,vessel_core,67,63
23_r_t,vessel_edge,10,9
23_r_t,non_vessel,12,9
24_r_t,vessel_core,71,68
24_r_t,vessel_edge,21,21
24_r_t,non_vessel,31,28
25_r_t,vessel_core,124,113
25_r_t,vessel_edge,30,29
25_r_t,non_vessel,44,43
26_r_t,vessel_core,84,73
