dataset,method,pair_id,detected_query,detected_refer,ratio_matches,bidirectional_matches,returned_after_outlier,ransac_inliers,ransac_inlier_rate,match_grid_cells,match_grid_coverage,match_hull_fraction,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,mean_returned_match_distance
FIRE,G0,control_points_P18_1_2,323,367,102,95,56,44,0.7857142857142857,13,0.203125,0.09349669046612728,13,0.203125,0.08462307352674797,0.6919715079878058
FIRE,G0,control_points_P42_1_2,405,383,128,122,67,63,0.9402985074626866,16,0.25,0.1653632468149982,16,0.25,0.1582996491403514,0.7757179479100811
FIRE,G0,control_points_P22_1_2,514,515,172,159,100,84,0.84,17,0.265625,0.1717133205908103,15,0.234375,0.13984319573798454,0.7355050376057625
FIRE,G0,control_points_A02_1_2,403,358,86,70,51,41,0.803921568627451,20,0.3125,0.30542555294122087,17,0.265625,0.2764954342961297,0.9323194716490951
FIRE,G5,control_points_P18_1_2,321,368,111,104,71,54,0.7605633802816901,16,0.25,0.1598101900246045,11,0.171875,0.08795436513177757,0.7322366502083523
FIRE,G5,control_points_P42_1_2,410,399,126,116,63,51,0.8095238095238095,13,0.203125,0.1321933185718814,11,0.171875,0.10694939611384495,0.7630010190464201
FIRE,G5,control_points_P22_1_2,525,546,182,177,115,92,0.8,19,0.296875,0.18700794505117135,15,0.234375,0.1554281001879302,0.7464534785436547
FIRE,G5,control_points_A02_1_2,416,374,79,66,47,43,0.9148936170212766,18,0.28125,0.3510555861120336,17,0.265625,0.2935460669567383,0.9332487557796721
FIRE,G6,control_points_P18_1_2,315,342,110,105,71,52,0.7323943661971831,14,0.21875,0.2049770606282454,14,0.21875,0.17671612492075234,0.7273909096986475
FIRE,G6,control_points_P42_1_2,367,363,113,97,61,43,0.7049180327868853,22,0.34375,0.2400578956157167,14,0.21875,0.15771207243992272,0.7526081854202709
FIRE,G6,control_points_P22_1_2,485,506,151,147,88,76,0.8636363636363636,17,0.265625,0.16088351252113273,14,0.21875,0.12217485575036227,0.749370545826175
FIRE,G6,control_points_A02_1_2,387,340,47,42,30,25,0.8333333333333334,13,0.203125,0.30668319703991065,10,0.15625,0.25601816517102405,0.9728730857372284
