dataset,method,pair_id,detected_query,detected_refer,ratio_matches,bidirectional_matches,returned_after_outlier,ransac_inliers,ransac_inlier_rate,match_grid_cells,match_grid_coverage,match_hull_fraction,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,mean_returned_match_distance
FIRE,G0,control_points_P18_1_2,323,367,102,95,56,44,0.7857142857142857,13,0.203125,0.09349669046612728,13,0.203125,0.08462307352674797,0.6919715079878058
FIRE,G0,control_points_P42_1_2,405,383,128,122,67,63,0.9402985074626866,16,0.25,0.1653632468149982,16,0.25,0.1582996491403514,0.7757179479100811
FIRE,G0,control_points_P05_1_2,499,487,93,85,57,42,0.7368421052631579,14,0.21875,0.14934436699975848,10,0.15625,0.09612925814741577,0.8623030603977672
FIRE,G0,control_points_P04_1_2,527,487,96,87,52,44,0.8461538461538461,10,0.15625,0.08218266966549934,9,0.140625,0.06704854533344402,0.805271120598683
FIRE,G0,control_points_A02_1_2,403,358,86,70,51,41,0.803921568627451,20,0.3125,0.30542555294122087,17,0.265625,0.2764954342961297,0.9323194716490951
FIRE,G7,control_points_P18_1_2,363,423,124,114,70,58,0.8285714285714286,17,0.265625,0.21496816413325684,15,0.234375,0.19867333259117256,0.7177655002900533
FIRE,G7,control_points_P42_1_2,444,411,133,126,69,62,0.8985507246376812,18,0.28125,0.22592828274061103,18,0.28125,0.21494245580998672,0.7466709376245305
FIRE,G7,control_points_P05_1_2,536,500,75,67,45,37,0.8222222222222222,10,0.15625,0.09140606131505857,10,0.15625,0.0755917867331844,0.8430194841490851
FIRE,G7,control_points_P04_1_2,545,500,88,80,47,41,0.8723404255319149,10,0.15625,0.10410025349821882,9,0.140625,0.08941048220323633,0.8258234154670796
FIRE,G7,control_points_A02_1_2,428,412,85,71,54,45,0.8333333333333334,19,0.296875,0.32101729722029343,15,0.234375,0.276038286061466,0.9293710556295183
