batch_index,exit_reason,image_count,nonempty_image_count,over_limit_image_count,participating_image_count,total_correspondences,used_correspondences,discarded_correspondences,maximum_image_correspondences
0,trained,2,2,0,2,1510,1510,0,922
1,trained,2,2,0,2,1420,1420,0,830
2,trained,2,2,0,2,1128,1128,0,657
3,over_limit_batch_abort,2,2,1,0,1619,0,1619,1011
4,trained,2,2,0,2,1865,1865,0,947
5,trained,2,2,0,2,1407,1407,0,832
6,trained,2,2,0,2,1339,1339,0,746
7,trained,2,2,0,2,1337,1337,0,693
8,trained,2,2,0,2,1089,1089,0,659
9,trained,2,2,0,2,1437,1437,0,825
10,trained,2,2,0,2,1509,1509,0,855
11,trained,2,2,0,2,1712,1712,0,950
12,trained,2,2,0,2,1269,1269,0,712
13,trained,2,2,0,2,1134,1134,0,669
14,trained,2,2,0,2,1201,1201,0,716
15,trained,2,2,0,2,1393,1393,0,843
16,trained,2,2,0,2,1236,1236,0,639
17,trained,2,2,0,2,1195,1195,0,656
18,over_limit_batch_abort,2,2,1,0,1913,0,1913,1001
19,trained,2,2,0,2,1138,1138,0,707
20,trained,2,2,0,2,1347,1347,0,778
21,trained,2,2,0,2,1420,1420,0,907
22,trained,2,2,0,2,1244,1244,0,669
23,trained,2,2,0,2,1273,1273,0,757
24,over_limit_batch_abort,2,2,1,0,1696,0,1696,1032
25,trained,2,2,0,2,1751,1751,0,878
26,trained,2,2,0,2,1493,1493,0,942
27,trained,2,2,0,2,1768,1768,0,887
28,trained,2,2,0,2,1121,1121,0,610
29,trained,2,2,0,2,1168,1168,0,707
30,trained,2,2,0,2,1000,1000,0,540
31,trained,2,2,0,2,1418,1418,0,720
32,trained,2,2,0,2,1375,1375,0,717
33,trained,2,2,0,2,1377,1377,0,766
34,trained,2,2,0,2,1213,1213,0,646
35,trained,2,2,0,2,1098,1098,0,599
36,trained,2,2,0,2,1125,1125,0,680
37,trained,2,2,0,2,1290,1290,0,659
38,trained,2,2,0,2,1087,1087,0,570
39,trained,2,2,0,2,1327,1327,0,677
40,trained,2,2,0,2,1120,1120,0,655
41,trained,2,2,0,2,1033,1033,0,529
42,trained,2,2,0,2,1216,1216,0,634
43,trained,2,2,0,2,1187,1187,0,596
44,trained,2,2,0,2,1288,1288,0,676
45,trained,2,2,0,2,1260,1260,0,639
46,trained,2,2,0,2,1238,1238,0,685
47,trained,2,2,0,2,1134,1134,0,569
48,trained,2,2,0,2,1297,1297,0,656
49,trained,2,2,0,2,1158,1158,0,605
50,trained,2,2,0,2,1136,1136,0,610
51,trained,2,2,0,2,1188,1188,0,599
52,trained,2,2,0,2,895,895,0,509
53,trained,2,2,0,2,992,992,0,672
54,trained,2,2,0,2,1137,1137,0,626
55,trained,2,2,0,2,1040,1040,0,689
56,trained,2,2,0,2,1168,1168,0,771
57,trained,2,2,0,2,1146,1146,0,616
58,trained,2,2,0,2,1213,1213,0,713
59,trained,2,2,0,2,1237,1237,0,680
60,trained,2,2,0,2,1290,1290,0,684
61,trained,2,2,0,2,1141,1141,0,613
62,trained,2,2,0,2,1298,1298,0,661
63,trained,2,2,0,2,1377,1377,0,752
