batch_index,image_index,label_name,correspondence_count,is_empty,is_over_limit,participated_in_loss,batch_exit_reason
0,0,07_dr.txt,922,0,0,1,trained
0,1,im0324.txt,588,0,0,1,trained
1,0,Image_14L.txt,590,0,0,1,trained
1,1,09_dr.txt,830,0,0,1,trained
2,0,35_training.txt,471,0,0,1,trained
2,1,03_g.txt,657,0,0,1,trained
3,0,12_g.txt,1011,0,1,0,over_limit_batch_abort
3,1,34_training.txt,608,0,0,0,over_limit_batch_abort
4,0,02_h.txt,947,0,0,1,trained
4,1,12_dr.txt,918,0,0,1,trained
5,0,15_h.txt,832,0,0,1,trained
5,1,21_training.txt,575,0,0,1,trained
6,0,05_dr.txt,746,0,0,1,trained
6,1,24_training.txt,593,0,0,1,trained
7,0,im0082.txt,644,0,0,1,trained
7,1,im0162.txt,693,0,0,1,trained
8,0,Image_06R.txt,430,0,0,1,trained
8,1,im0001.txt,659,0,0,1,trained
9,0,07_g.txt,825,0,0,1,trained
9,1,Image_08R.txt,612,0,0,1,trained
10,0,15_g.txt,855,0,0,1,trained
10,1,im0005.txt,654,0,0,1,trained
11,0,07_h.txt,950,0,0,1,trained
11,1,01_dr.txt,762,0,0,1,trained
12,0,im0240.txt,712,0,0,1,trained
12,1,im0044.txt,557,0,0,1,trained
13,0,33_training.txt,465,0,0,1,trained
13,1,im0236.txt,669,0,0,1,trained
14,0,29_training.txt,485,0,0,1,trained
14,1,im0081.txt,716,0,0,1,trained
15,0,Image_10L.txt,550,0,0,1,trained
15,1,09_g.txt,843,0,0,1,trained
16,0,Image_04L.txt,639,0,0,1,trained
16,1,im0003.txt,597,0,0,1,trained
17,0,Image_07L.txt,656,0,0,1,trained
17,1,40_training.txt,539,0,0,1,trained
18,0,10_h.txt,1001,0,1,0,over_limit_batch_abort
18,1,10_dr.txt,912,0,0,0,over_limit_batch_abort
19,0,im0077.txt,707,0,0,1,trained
19,1,im0291.txt,431,0,0,1,trained
20,0,02_g.txt,778,0,0,1,trained
20,1,30_training.txt,569,0,0,1,trained
21,0,Image_06L.txt,513,0,0,1,trained
21,1,04_h.txt,907,0,0,1,trained
22,0,Image_03L.txt,575,0,0,1,trained
22,1,im0163.txt,669,0,0,1,trained
23,0,Image_11R.txt,516,0,0,1,trained
23,1,05_g.txt,757,0,0,1,trained
24,0,im0255.txt,664,0,0,0,over_limit_batch_abort
24,1,06_h.txt,1032,0,1,0,over_limit_batch_abort
25,0,10_g.txt,873,0,0,1,trained
25,1,11_g.txt,878,0,0,1,trained
26,0,12_h.txt,942,0,0,1,trained
26,1,im0002.txt,551,0,0,1,trained
27,0,02_dr.txt,887,0,0,1,trained
27,1,05_h.txt,881,0,0,1,trained
28,0,Image_09L.txt,511,0,0,1,trained
28,1,im0186.txt,610,0,0,1,trained
29,0,im0208.txt,707,0,0,1,trained
29,1,im0282.txt,461,0,0,1,trained
30,0,im0391.txt,460,0,0,1,trained
30,1,im0023.txt,540,0,0,1,trained
31,0,im0137.txt,698,0,0,1,trained
31,1,im0205.txt,720,0,0,1,trained
32,0,im0027.txt,717,0,0,1,trained
32,1,im0026.txt,658,0,0,1,trained
33,0,im0160.txt,766,0,0,1,trained
33,1,im0218.txt,611,0,0,1,trained
34,0,im0020.txt,567,0,0,1,trained
34,1,im0069.txt,646,0,0,1,trained
35,0,im0285.txt,499,0,0,1,trained
35,1,im0103.txt,599,0,0,1,trained
36,0,im0261.txt,680,0,0,1,trained
36,1,im0010.txt,445,0,0,1,trained
37,0,im0323.txt,659,0,0,1,trained
