dataset,image,perturbation_type,perturbation,mask_iou,skeleton_f1,junction_repeatability,valid_fraction
Lab4,08_g.jpg,photometric,brightness_minus30,0.9841050993677493,0.9982438437427964,0.9510951734832331,1.0
Lab4,08_g.jpg,photometric,brightness_plus30,0.986247058590892,0.9986421661209122,0.9553976600865295,1.0
Lab4,08_g.jpg,photometric,contrast_070,0.8768367407642428,0.9671217236360881,0.7682486948267679,1.0
Lab4,08_g.jpg,photometric,contrast_130,0.976207762646678,0.9965116008979764,0.9343074014346884,1.0
Lab4,08_g.jpg,photometric,gaussian_blur,0.6375346711545865,0.7819486354011972,0.6336759222919937,1.0
Lab4,08_g.jpg,affine,rotate_minus10_translate,0.8353431605950773,0.9479808976695124,0.7475866990098101,0.9226226806640625
Lab4,08_g.jpg,affine,rotate_plus10_translate,0.825725567620928,0.9352431994160834,0.7374995700013268,0.9226226806640625
Lab4,08_g.jpg,affine,scale_095,0.8606884593031565,0.9601282642696144,0.7679325023422543,1.0
Lab4,08_g.jpg,affine,scale_105,0.8575517146552866,0.9689275563222377,0.757083382083382,0.908447265625
Lab4,14_test.tif,photometric,brightness_minus30,0.9601914184054252,0.9799746101551471,0.9142308684991611,1.0
Lab4,14_test.tif,photometric,brightness_plus30,0.9812007049735635,0.9963248519896356,0.9403130804264306,1.0
Lab4,14_test.tif,photometric,contrast_070,0.811795874597868,0.927122997935444,0.7246967442279941,1.0
Lab4,14_test.tif,photometric,contrast_130,0.9553975595355245,0.9796925741443311,0.9043048730548731,1.0
Lab4,14_test.tif,photometric,gaussian_blur,0.5835582234104265,0.7392745970535718,0.6273329319686936,1.0
Lab4,14_test.tif,affine,rotate_minus10_translate,0.8051911115507796,0.918169298410937,0.7363725341976044,0.9226226806640625
Lab4,14_test.tif,affine,rotate_plus10_translate,0.7464795746853095,0.8817046508580564,0.695363184692453,0.9226226806640625
Lab4,14_test.tif,affine,scale_095,0.8158136684033098,0.9214296122238778,0.744668911335578,1.0
Lab4,14_test.tif,affine,scale_105,0.597304170268205,0.8123622555675546,0.6532316853697098,0.908447265625
Lab4,23_training.tif,photometric,brightness_minus30,0.9224558179754634,0.9545174036136345,0.8839307436542048,1.0
Lab4,23_training.tif,photometric,brightness_plus30,0.9804486157971668,0.9970801455944833,0.9361656121995869,1.0
Lab4,23_training.tif,photometric,contrast_070,0.841947374829804,0.9588762073869476,0.7678759739479177,1.0
Lab4,23_training.tif,photometric,contrast_130,0.9181273816004355,0.9534063714430381,0.8659073614037294,1.0
Lab4,23_training.tif,photometric,gaussian_blur,0.6016767314796381,0.7746248861110223,0.641983141484637,1.0
Lab4,23_training.tif,affine,rotate_minus10_translate,0.3440053065059975,0.6054396912400546,0.5190151247667154,0.9226226806640625
Lab4,23_training.tif,affine,rotate_plus10_translate,0.6387424760940612,0.8376793951338718,0.6606835338141419,0.9226226806640625
Lab4,23_training.tif,affine,scale_095,0.82282011671816,0.9320169523662145,0.7345161759400893,1.0
Lab4,23_training.tif,affine,scale_105,0.3144753789755276,0.5738371978361048,0.5237302896956362,0.908447265625
Lab4,Image_13R.jpg,photometric,brightness_minus30,0.9729056802189815,0.9943128587152911,0.9315373437954083,1.0
Lab4,Image_13R.jpg,photometric,brightness_plus30,0.979061416735322,0.996301199799204,0.939877923526132,1.0
Lab4,Image_13R.jpg,photometric,contrast_070,0.8580507484540257,0.9518438411171879,0.7733608417577883,1.0
Lab4,Image_13R.jpg,photometric,contrast_130,0.9419650810618208,0.986359126114028,0.8663940399151666,1.0
Lab4,Image_13R.jpg,photometric,gaussian_blur,0.5265544346298069,0.6967059838215229,0.5906374073188232,1.0
Lab4,Image_13R.jpg,affine,rotate_minus10_translate,0.797821437912519,0.9143180090504763,0.7296730105579663,0.9226226806640625
Lab4,Image_13R.jpg,affine,rotate_plus10_translate,0.8404167355713577,0.9371257140322007,0.767978648341872,0.9226226806640625
Lab4,Image_13R.jpg,affine,scale_095,0.8119979308666018,0.9201346224328749,0.7002906052427256,1.0
