dataset,image,variant,mask_iou_to_baseline,skeleton_f1_to_baseline,junction_repeatability_to_baseline,baseline_area_fraction,variant_area_fraction,baseline_junction_count,variant_junction_count
Lab4,08_g.jpg,threshold_015,0.4566923405687057,0.6915149876408361,0.5748822431768978,0.1702948676215278,0.3728875054253472,1470,3004
Lab4,08_g.jpg,threshold_035,0.6040082035761221,0.8221467313811862,0.6539544061899569,0.1702948676215278,0.1028594970703125,1470,917
Lab4,08_g.jpg,kernel_09,0.6673512923550131,0.8962433651594167,0.7035878867676102,0.1702948676215278,0.11461046006944445,1470,1085
Lab4,08_g.jpg,kernel_21,0.8281007280024855,0.9466954504051684,0.7897796018776515,0.1702948676215278,0.198822021484375,1470,1626
Lab4,14_test.tif,threshold_015,0.35597114926299317,0.5723206337954057,0.5268926377173799,0.13421461317274305,0.3770378960503472,1188,3201
Lab4,14_test.tif,threshold_035,0.5446357515505982,0.7770795066184036,0.6420406057502832,0.13421461317274305,0.07309807671440972,1188,651
Lab4,14_test.tif,kernel_09,0.626676787683987,0.8744200324962984,0.6804007555227067,0.13421461317274305,0.0983123779296875,1188,1025
Lab4,14_test.tif,kernel_21,0.7886894202795715,0.92342303301134,0.7498553240740741,0.13421461317274305,0.16495259602864584,1188,1408
Lab4,23_training.tif,threshold_015,0.4413151522874984,0.6787285139696108,0.5638446613022884,0.1526523166232639,0.3459031846788194,1298,2754
Lab4,23_training.tif,threshold_035,0.4690464026300007,0.7230001297704868,0.5823852226173698,0.1526523166232639,0.07160101996527778,1298,633
Lab4,23_training.tif,kernel_09,0.49951396397872366,0.8045193225965485,0.6214245367672557,0.1526523166232639,0.08011372884114583,1298,862
Lab4,23_training.tif,kernel_21,0.7493856441959431,0.9186238549564286,0.7249448476550597,0.1526523166232639,0.1937374538845486,1298,1436
Lab4,Image_13R.jpg,threshold_015,0.3230013661965393,0.5064417131207649,0.49180039890940364,0.10782538519965278,0.3338233100043403,925,2954
Lab4,Image_13R.jpg,threshold_035,0.46449573885971257,0.6918972953055735,0.5669703036369703,0.10782538519965278,0.050084431966145836,925,486
Lab4,Image_13R.jpg,kernel_09,0.5344585802180587,0.7975589325857151,0.6219231269793067,0.10782538519965278,0.0980953640407986,925,1246
