pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_A01_1_2,365,337,214,197,146,146,146,0.9811320754716981,3.472900457294645,True,,0.9375,0.875,362,324,190,178,126,126,121,0.9757281553398058,2.8306114858705977,True,,0.8125,0.8125,452,434,239,224,191,191,191,0.9575289575289575,2.81693367669562,True,,0.875,0.875
control_points_A02_1_2,315,268,70,60,40,40,39,0.9090909090909091,9.814727975799723,True,,0.5,0.5,317,290,70,59,45,45,45,0.9210526315789473,10.810371257003403,True,,0.5625,0.625,388,369,72,54,38,38,38,0.9487179487179487,9.642839786039723,True,,0.4375,0.4375
control_points_A03_1_2,284,268,96,85,61,61,61,0.897196261682243,6.487619820474263,True,,0.5625,0.5625,279,290,111,99,76,76,75,0.9369369369369369,5.244499570563543,True,,0.6875,0.6875,390,369,130,113,84,84,84,0.9276315789473685,5.384935163221487,True,,0.6875,0.6875
control_points_A04_1_2,284,315,167,160,125,125,125,0.9714285714285714,3.8378647556048042,True,,0.9375,0.9375,279,317,154,149,96,96,95,0.975,2.489565487185861,True,,0.6875,0.75,390,388,191,175,137,137,137,0.9296482412060302,2.470129203006375,True,,0.875,0.9375
control_points_A05_1_2,315,392,80,71,42,42,42,0.9876543209876543,6.176263874295778,True,,0.625,0.625,317,379,89,80,66,66,66,0.9666666666666667,5.535123695615021,True,,0.625,0.625,388,470,79,66,48,48,48,0.9247311827956989,5.88297688645833,True,,0.625,0.625
control_points_A06_1_2,284,392,92,86,77,77,77,0.989010989010989,5.194926624629714,True,,0.625,0.625,279,379,107,99,71,71,71,0.9805825242718447,5.598016991033807,True,,0.6875,0.6875,390,470,115,102,71,71,70,0.9322033898305084,6.3414958120485565,True,,0.6875,0.6875
control_points_A07_1_2,383,389,228,220,142,142,130,0.9259259259259259,6.748725486201858,True,,0.8125,0.75,362,359,215,209,164,164,164,0.9196428571428571,7.084073749640444,True,,0.875,0.8125,486,487,273,258,168,168,168,0.9562043795620438,7.701957704967465,True,,0.8125,0.8125
control_points_A08_1_2,400,389,95,80,61,61,61,0.9456521739130435,16.730516187023632,True,,0.625,0.5625,368,359,87,78,61,61,61,0.9259259259259259,21.006893092557114,True,,0.5,0.5,518,487,98,87,71,71,70,0.9090909090909091,14.903233530021893,True,,0.6875,0.6875
control_points_A09_1_2,400,383,105,97,59,59,59,0.9727272727272728,5.320406155824115,True,,0.6875,0.625,368,362,97,84,66,66,66,0.989247311827957,6.2326256661388175,True,,0.6875,0.6875,518,486,105,94,58,58,58,0.98989898989899,6.707791579339052,True,,0.5625,0.5
control_points_A10_1_2,417,423,316,312,243,243,241,0.96875,3.6929264351935513,True,,1.0,1.0,408,406,308,304,240,240,232,0.9352750809061489,3.03776743932821,True,,1.0,0.9375,507,488,368,360,288,288,284,0.9621621621621622,3.470615863416934,True,,0.9375,0.9375
control_points_A11_1_2,426,423,318,311,250,250,249,0.9745222929936306,2.7829808540521577,True,,0.9375,1.0,404,406,300,297,244,244,243,0.9315960912052117,2.61109515778561,True,,1.0,1.0,498,488,358,350,312,312,312,0.970108695652174,2.5948415628369115,True,,1.0,1.0
control_points_A12_1_2,414,423,311,302,253,253,253,0.9720496894409938,2.746555320444256,True,,0.9375,0.9375,400,406,295,290,246,246,244,0.966996699669967,2.2409174334756465,True,,0.9375,1.0,506,488,351,341,308,308,308,0.9752066115702479,2.6288260342919134,True,,1.0,1.0
control_points_A13_1_2,407,349,241,233,177,177,177,0.9795081967213115,4.786004751870064,True,,0.875,0.8125,381,345,223,215,168,168,168,0.9866666666666667,4.9960360881633346,True,,0.9375,0.9375,480,441,268,252,210,210,210,0.9632352941176471,4.843943731842252,True,,0.9375,0.9375
control_points_A14_1_2,412,349,208,200,162,162,162,0.9766355140186916,5.440557198092434,True,,0.9375,0.875,369,345,206,197,166,166,166,0.9577464788732394,5.797867068076896,True,,1.0,1.0,486,441,259,249,175,175,172,0.9625468164794008,6.0360684913963185,True,,0.8125,0.875
control_points_P01_1_2,365,394,228,219,179,179,179,1.0,3.3636348821081916,True,,0.8125,0.75,353,385,217,212,135,135,135,1.0,5.9917323230080175,True,,0.6875,0.625,462,486,262,260,160,160,160,1.0,6.887034727772968,True,,0.5625,0.6875
control_points_P02_1_2,344,390,229,228,170,170,167,0.9656652360515021,4.470833805994985,True,,0.75,0.8125,332,370,213,208,175,175,173,0.9490740740740741,4.208220521790127,True,,0.8125,0.8125,429,466,266,258,203,203,202,0.973384030418251,4.801115574748356,True,,0.75,0.6875
control_points_P03_1_2,346,381,217,209,148,148,148,1.0,4.13750508079603,True,,0.6875,0.6875,321,358,191,185,156,156,156,1.0,4.31145833220692,True,,0.625,0.75,460,469,255,241,153,153,153,1.0,4.591767701618836,True,,0.75,0.75
control_points_P04_1_2,423,373,76,73,52,52,52,1.0,14.782111730716892,True,,0.375,0.375,407,345,72,63,40,40,40,1.0,13.706558414457493,True,,0.375,0.25,497,456,89,82,51,51,51,1.0,9.493982602546394,True,,0.3125,0.375
control_points_P05_1_2,433,373,69,62,44,44,44,1.0,9.63758793002248,True,,0.4375,0.375,398,345,62,54,34,34,34,1.0,15.27958855839679,True,,0.3125,0.3125,484,456,77,66,47,47,47,1.0,12.507838763354018,True,,0.25,0.375
control_points_P06_1_2,340,350,166,159,121,121,121,1.0,4.601891776032942,True,,0.5625,0.75,336,335,154,149,96,96,96,1.0,9.064696901509926,True,,0.6875,0.75,439,440,194,181,136,136,136,1.0,3.742074137780759,True,,0.6875,0.75
control_points_P07_1_2,364,350,179,173,105,105,105,1.0,7.55259378472998,True,,0.5625,0.625,343,335,178,170,102,102,102,1.0,8.263203754387098,True,,0.6875,0.6875,449,440,222,207,131,131,131,1.0,7.979055340941166,True,,0.6875,0.5
control_points_P08_1_2,338,376,143,143,70,70,70,1.0,7.775167684439216,True,,0.4375,0.5,303,362,138,133,72,72,72,1.0,5.763862448669069,True,,0.625,0.5625,424,467,166,157,93,93,93,1.0,8.193840252223982,True,,0.4375,0.5
control_points_P09_1_2,325,376,109,106,58,58,58,1.0,15.506120859072198,True,,0.3125,0.375,313,362,98,95,55,55,55,1.0,7.859297697955364,True,,0.25,0.25,427,467,127,122,69,69,69,1.0,16.30256461597044,True,,0.4375,0.375
control_points_P10_1_2,353,380,143,137,85,85,85,1.0,7.803625767268853,True,,0.5,0.4375,340,373,140,135,62,62,62,1.0,13.605753460002953,True,,0.5625,0.5625,430,452,162,156,94,94,94,1.0,6.5851333068035816,True,,0.5,0.5
control_points_P11_1_2,373,380,137,132,79,79,79,1.0,5.453150138502229,True,,0.5,0.625,358,373,135,129,78,78,78,1.0,14.973274760269666,True,,0.5,0.5,452,452,154,145,92,92,92,1.0,8.590632602461852,True,,0.5625,0.5
control_points_P12_1_2,386,380,147,137,72,72,72,1.0,12.095442878809205,True,,0.5625,0.5,386,373,153,138,79,79,79,1.0,8.457797667182017,True,,0.5,0.5625,466,452,157,149,99,99,99,1.0,4.452377758945885,True,,0.5625,0.5625
control_points_P13_1_2,373,353,108,102,71,71,71,1.0,6.573881694090541,True,,0.4375,0.5,358,340,107,101,56,56,56,1.0,9.738049235232776,True,,0.375,0.375,452,430,121,112,67,67,67,1.0,7.465996411553611,True,,0.4375,0.4375
control_points_P14_1_2,386,353,103,93,66,66,66,1.0,5.918811156285473,True,,0.375,0.4375,386,340,108,91,56,56,56,1.0,5.842973972284225,True,,0.3125,0.4375,466,430,101,93,60,60,60,1.0,10.983134558973955,True,,0.1875,0.3125
control_points_P15_1_2,386,373,41,37,25,25,25,1.0,19.145612149083014,True,,0.1875,0.1875,386,358,46,41,30,30,30,1.0,8.15431066901336,True,,0.25,0.25,466,452,53,45,31,31,31,1.0,12.660803102256093,True,,0.25,0.1875
control_points_P16_1_2,313,337,127,121,89,89,89,1.0,5.410565993401629,True,,0.4375,0.375,297,329,122,115,75,75,75,1.0,6.829044415378813,True,,0.5,0.5625,394,419,146,138,77,77,77,1.0,5.961063612341784,True,,0.5625,0.625
control_points_P17_1_2,303,294,124,118,77,77,77,1.0,7.962417055484051,True,,0.5625,0.5,306,291,121,115,76,76,76,1.0,6.672064231783919,True,,0.5625,0.5625,376,362,127,120,81,81,81,1.0,8.127490747744996,True,,0.5625,0.5625
control_points_P18_1_2,256,294,97,95,71,71,71,1.0,4.874436253752893,True,,0.4375,0.5,264,291,96,87,55,55,55,1.0,8.092117751885596,True,,0.5,0.4375,327,362,112,105,67,67,67,1.0,6.003349097680293,True,,0.5625,0.5
control_points_P19_1_2,382,368,214,208,165,165,165,1.0,3.3628720207653715,True,,0.875,0.75,367,355,221,208,167,167,167,1.0,4.149649623945909,True,,0.8125,0.75,455,442,241,233,192,192,192,1.0,5.363049709113732,True,,0.8125,0.6875
control_points_P20_1_2,375,327,174,171,105,105,105,1.0,7.539092875770962,True,,0.5625,0.5625,357,312,164,160,116,116,116,1.0,3.6913627399034157,True,,0.625,0.6875,461,413,195,185,155,155,155,1.0,7.778778261778271,True,,0.5625,0.5625
control_points_P21_1_2,413,401,204,197,124,124,124,1.0,3.573470475473394,True,,0.5625,0.625,383,382,185,180,113,113,113,1.0,3.4163453408773115,True,,0.6875,0.6875,513,521,252,250,187,187,187,1.0,4.222439736611554,True,,0.625,0.5625
control_points_P22_1_2,400,401,138,127,86,86,86,1.0,6.893430603910746,True,,0.375,0.375,396,382,130,123,82,82,82,1.0,8.621209444901998,True,,0.4375,0.4375,493,521,155,152,102,102,102,1.0,6.4518618069321905,True,,0.25,0.4375
control_points_P23_1_2,328,397,99,91,62,62,62,1.0,9.493915875057843,True,,0.5,0.4375,321,370,86,82,49,49,49,1.0,7.731235609776282,True,,0.5,0.5625,455,476,113,104,62,62,62,1.0,6.025424898485606,True,,0.375,0.375
control_points_P24_1_2,375,366,192,191,145,145,145,1.0,6.055872327083849,True,,0.6875,0.625,363,369,188,180,142,142,142,1.0,6.705260560840164,True,,0.75,0.625,455,457,234,229,185,185,185,1.0,4.601550200744399,True,,0.75,0.625
control_points_P25_1_2,351,373,154,145,90,90,90,1.0,12.867674736394637,True,,0.5625,0.5625,345,368,152,146,77,77,77,1.0,6.843898056020555,True,,0.625,0.625,432,469,170,154,102,102,102,1.0,5.258914201812324,True,,0.5625,0.5625
control_points_P26_1_2,319,390,137,132,83,83,83,1.0,5.760620034744818,True,,0.5625,0.5625,299,389,134,127,91,91,91,1.0,4.776658583346781,True,,0.625,0.625,417,476,153,145,104,104,104,1.0,4.24270815105512,True,,0.5625,0.625
control_points_P27_1_2,319,390,137,132,83,83,83,1.0,5.647427399622556,True,,0.5625,0.5625,299,389,134,127,91,91,91,1.0,4.808242679153453,True,,0.625,0.625,417,476,153,145,104,104,104,1.0,4.796453559297256,True,,0.5625,0.625
control_points_P28_1_2,359,379,132,126,89,89,89,1.0,5.017183955392672,True,,0.5625,0.625,349,362,129,114,76,76,76,1.0,11.327375337701824,True,,0.5,0.5625,453,467,150,141,87,87,87,1.0,9.267096447088749,True,,0.5,0.5625
control_points_P29_1_2,308,327,128,114,71,71,71,1.0,10.17957781083311,True,,0.5,0.5625,295,308,112,98,75,75,75,1.0,6.357991593423119,True,,0.6875,0.625,390,407,139,128,81,81,81,1.0,9.003865611902365,True,,0.5,0.5625
control_points_P30_1_2,349,411,109,107,64,64,64,1.0,13.602421488101086,True,,0.375,0.375,340,387,111,108,70,70,70,1.0,7.66604760107229,True,,0.4375,0.4375,430,460,115,108,65,65,65,1.0,16.908360708566974,True,,0.3125,0.4375
control_points_P31_1_2,341,411,114,106,61,61,61,1.0,8.2548752631476,True,,0.5,0.4375,320,387,99,96,66,66,66,1.0,11.25615746400495,True,,0.4375,0.5,405,460,103,98,57,57,57,1.0,9.869868060716167,True,,0.5,0.375
control_points_P32_1_2,369,395,235,226,195,195,195,1.0,3.543826376686863,True,,0.8125,0.875,361,367,203,199,155,155,155,1.0,3.8133021592063536,True,,0.75,0.8125,467,474,286,278,191,191,191,1.0,3.6022886062264616,True,,0.8125,0.875
control_points_P33_1_2,345,340,162,154,110,110,110,1.0,4.90832536872869,True,,0.625,0.5625,329,334,157,150,91,91,91,1.0,9.273453107468658,True,,0.75,0.5625,446,432,193,185,145,145,145,1.0,5.871172481745586,True,,0.6875,0.625
control_points_P34_1_2,324,365,99,94,69,69,69,1.0,5.896344455745375,True,,0.625,0.5,309,354,101,98,55,55,55,1.0,8.977951334924438,True,,0.5,0.5,442,462,130,124,87,87,87,1.0,5.163414920632551,True,,0.5625,0.5
control_points_P35_1_2,340,411,123,122,71,71,71,1.0,4.0384573800895085,True,,0.375,0.4375,330,391,135,125,77,77,77,1.0,5.643334865037474,True,,0.5625,0.5625,438,487,160,148,86,86,86,1.0,11.285979178693852,True,,0.5625,0.5625
control_points_P36_1_2,351,394,161,153,109,109,109,1.0,5.0459139743932955,True,,0.5625,0.4375,342,356,138,133,80,80,80,1.0,6.933876981254322,True,,0.5625,0.4375,454,465,186,184,119,119,119,1.0,6.170683643305024,True,,0.625,0.5625
control_points_P38_1_2,369,386,156,150,100,100,100,1.0,5.87898334913083,True,,0.5,0.5625,343,375,148,141,90,90,90,1.0,3.4190481298371447,True,,0.625,0.625,438,452,160,154,85,85,85,1.0,12.827794240925035,True,,0.5,0.4375
control_points_P39_1_2,341,387,207,200,173,173,173,1.0,2.749919394628123,True,,0.875,0.8125,336,379,204,200,151,151,151,1.0,4.016968225522776,True,,0.75,0.75,425,460,251,243,161,161,161,1.0,3.296531057511705,True,,0.75,0.8125
control_points_P40_1_2,329,297,149,143,103,103,103,1.0,4.026869324218027,True,,0.6875,0.625,311,283,143,136,99,99,99,1.0,4.445391668600967,True,,0.6875,0.75,403,388,188,176,122,122,122,1.0,4.092519561280473,True,,0.6875,0.8125
control_points_P41_1_2,333,297,109,93,47,47,47,1.0,20.097847972207074,True,,0.5,0.4375,315,283,105,99,55,55,55,1.0,19.317088500556185,True,,0.4375,0.375,412,388,138,127,66,66,66,1.0,5.743019995121497,True,,0.5,0.5625
