pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_01_r_t,400,359,178,161,121,121,121,0.9402173913043478,2.8226131579263636,True,,0.8125,0.875,370,348,165,154,127,127,127,0.9723756906077348,2.898463983465305,True,,0.8125,0.875,451,411,195,181,164,164,163,0.963302752293578,2.7659894650812995,True,,0.8125,0.9375
control_points_02_r_t,375,385,171,162,113,113,112,0.9451219512195121,3.851752816872293,True,,0.625,0.6875,361,367,166,153,125,125,125,0.9467455621301775,3.4099992654919298,True,,0.9375,1.0,443,454,193,186,176,176,174,0.957345971563981,2.8611435308629916,True,,0.9375,1.0
control_points_03_r_t,400,359,158,143,128,128,128,0.9415204678362573,3.7220114010170984,True,,0.875,1.0,370,348,156,145,110,110,109,0.9554140127388535,4.2776654664439855,True,,0.75,0.8125,450,411,181,167,158,158,158,0.9396984924623115,3.7714358861942947,True,,0.9375,0.9375
control_points_04_r_t,394,385,154,144,114,114,114,0.9272727272727272,4.653384021820146,True,,0.875,0.9375,380,367,141,131,113,113,112,0.9559748427672956,3.905810298220095,True,,0.875,0.875,462,454,180,165,126,126,125,0.94,3.525698072999184,True,,0.9375,0.9375
control_points_05_r_t,284,363,69,57,40,40,40,0.9391891891891891,3.847228286975413,True,,0.5,0.8125,277,347,55,46,33,33,33,0.9251700680272109,4.899018384024649,True,,0.4375,0.625,338,416,59,48,36,36,36,0.9401197604790419,3.695212430362778,True,,0.4375,0.6875
control_points_06_r_t,287,387,62,55,34,34,34,0.9716312056737588,5.688262080026668,True,,0.5,0.8125,284,365,64,52,32,32,32,0.9391891891891891,5.203188040598549,True,,0.5,0.8125,321,450,63,56,30,30,30,0.9488636363636364,4.7154005837897595,True,,0.375,0.75
control_points_07_r_t,535,362,112,40,30,30,24,0.9492753623188406,3.0976317604477415,True,,0.625,0.5,502,349,108,29,29,29,29,0.9576271186440678,3.107787905866021,True,,1.0,1.0,628,418,125,37,29,29,28,0.9096774193548387,2.708574413124593,True,,0.4375,0.3125
control_points_08_r_t,542,385,110,36,35,35,32,0.9318181818181818,4.594321452098136,True,,0.625,0.6875,492,367,101,86,65,65,64,0.9411764705882353,5.046311657353656,True,,0.5625,0.5625,630,448,125,52,49,49,48,0.9570552147239264,4.2469612354038535,True,,0.8125,0.75
control_points_09_r_t,306,363,60,48,34,34,34,0.9074074074074074,4.088100170446934,True,,0.5625,0.6875,295,347,55,44,32,32,32,0.9202453987730062,4.267870125016298,True,,0.4375,0.6875,343,416,55,45,35,35,35,0.9190751445086706,3.4676094249790883,True,,0.625,0.8125
control_points_10_r_t,296,387,49,42,23,23,23,0.8951612903225806,6.846718445844233,True,,0.5625,0.625,291,365,43,34,17,17,17,0.9285714285714286,6.277600761908953,True,,0.375,0.5625,340,450,47,40,28,28,28,0.8639455782312925,7.682920550880951,True,,0.5,0.6875
control_points_11_r_t,379,386,202,188,161,161,160,0.947136563876652,3.972423327058395,True,,0.8125,0.9375,361,378,193,182,159,159,158,0.9227272727272727,3.877647287835354,True,,0.875,0.875,432,426,209,201,169,169,162,0.9180327868852459,3.9705955785760843,True,,0.8125,0.875
control_points_12_r_t,330,349,159,155,140,140,140,0.9395604395604396,3.402331567287414,True,,0.6875,0.75,329,358,148,138,123,123,123,0.9583333333333334,3.4594170886069953,True,,0.8125,0.875,409,421,193,183,166,166,165,0.9511111111111111,3.2936816236659894,True,,0.75,0.875
control_points_13_r_t,262,348,63,57,41,41,41,0.9385474860335196,4.576249405782447,True,,0.5625,0.625,276,357,74,68,51,51,50,0.9695121951219512,4.764800716374611,True,,0.625,0.5625,319,425,70,60,44,44,44,0.9693877551020408,4.6166475905203646,True,,0.5625,0.6875
control_points_14_r_t,472,381,114,33,31,31,31,0.9619565217391305,6.239329363185674,True,,0.5625,0.5625,456,380,114,27,24,24,24,0.9476744186046512,6.396608602555202,True,,0.6875,0.5625,612,431,127,35,28,28,28,0.9609756097560975,6.6288496635050995,True,,0.5625,0.625
control_points_15_r_t,503,342,146,132,114,114,114,0.9447513812154696,3.9450390259719588,True,,0.9375,0.875,486,359,146,139,106,106,106,0.9222222222222223,3.3801295951770354,True,,0.8125,0.8125,655,423,162,57,46,46,46,0.9631578947368421,3.5325016203651978,True,,0.5,0.4375
control_points_16_r_t,285,380,62,45,27,27,27,0.9322916666666666,6.460391554727177,True,,0.375,0.625,277,378,57,45,28,28,27,0.9106145251396648,6.138160365790178,True,,0.5,0.625,323,431,60,48,25,25,25,0.9473684210526315,6.068851208560737,True,,0.5,0.625
control_points_17_r_t,258,348,69,62,44,44,43,0.9147727272727273,6.017361542538885,True,,0.4375,0.6875,259,357,79,69,45,45,39,0.9570552147239264,6.073970381964702,True,,0.5625,0.6875,293,425,75,66,43,43,43,0.978494623655914,5.787319112693782,True,,0.4375,0.625
control_points_18_r_t,272,368,154,140,113,113,112,0.9044117647058824,3.0019265316949877,True,,0.5625,0.875,279,344,157,142,116,116,116,0.8669354838709677,2.8151162131602128,True,,0.6875,0.875,325,422,179,163,144,144,140,0.9209621993127147,2.996872135285488,True,,0.6875,1.0
control_points_19_r_t,262,334,103,97,74,74,74,0.9613259668508287,2.699340991854248,True,,0.5625,0.6875,276,329,90,83,64,64,64,0.9523809523809523,3.510318845357196,True,,0.5,0.6875,319,412,122,110,90,90,88,0.9576719576719577,3.087232168499676,True,,0.5625,0.6875
control_points_20_r_t,472,378,215,99,90,90,88,0.9398496240601504,2.6788317711263354,True,,0.875,0.75,456,359,185,78,78,78,77,0.926829268292683,2.4333930855028556,True,,1.0,0.9375,612,432,219,93,91,91,90,0.9679715302491103,2.777474348949701,True,,0.9375,0.875
control_points_21_r_t,503,332,145,134,127,127,125,0.9672131147540983,2.1971077729879895,True,,0.9375,0.75,486,320,136,117,109,109,108,0.9329268292682927,2.011957569949799,True,,0.8125,0.75,655,414,164,59,52,52,51,0.9682539682539683,2.3474253123384563,True,,0.625,0.4375
control_points_22_r_t,285,368,150,143,121,121,120,0.9053497942386831,3.646815244298649,True,,0.6875,0.875,277,344,142,135,112,112,112,0.8823529411764706,3.266279905361332,True,,0.625,0.8125,323,422,154,146,114,114,113,0.9397590361445783,3.5296039247778435,True,,0.6875,0.875
control_points_23_r_t,258,334,83,77,50,50,49,0.9820359281437125,3.1320982644517437,True,,0.4375,0.625,259,329,90,79,69,69,69,0.94,3.6772433153025634,True,,0.5,0.625,293,412,102,93,64,64,64,0.9562841530054644,3.7676340716703103,True,,0.375,0.625
control_points_24_r_t,367,356,136,128,102,102,96,0.9539473684210527,6.094346816528763,True,,0.875,0.875,351,358,132,124,106,106,103,0.9342105263157895,5.136739248331549,True,,0.875,0.875,424,401,152,140,107,107,107,0.963855421686747,5.890071401083026,True,,0.8125,0.8125
control_points_25_r_t,341,394,171,163,154,154,154,0.9510869565217391,3.7376536120854884,True,,0.75,0.8125,349,385,152,143,133,133,133,0.9393939393939394,4.270901238281512,True,,0.75,0.8125,420,484,205,187,145,145,144,0.926605504587156,3.47731245382646,True,,0.8125,0.8125
control_points_26_r_t,405,356,140,132,119,119,119,0.9575757575757575,6.410124908889348,True,,0.75,0.875,387,358,132,121,101,101,101,0.9202453987730062,6.006925682690287,True,,0.75,0.8125,475,401,172,158,134,134,134,0.9623655913978495,6.423876159124439,True,,0.875,0.875
control_points_27_r_t,372,394,204,194,159,159,157,0.9512195121951219,4.511714858807173,True,,0.875,0.875,361,385,188,174,144,144,143,0.9402985074626866,4.3778143727549885,True,,0.875,0.9375,438,484,226,215,193,193,193,0.926829268292683,4.151409511077311,True,,0.9375,0.9375
control_points_28_r_t,300,360,69,63,35,35,24,0.930635838150289,6.722901596651135,True,,0.375,0.5,292,352,59,52,33,33,33,0.8980891719745223,6.956558000692837,True,,0.375,0.625,339,401,47,37,24,24,24,0.9685863874345549,6.429192487609896,True,,0.375,0.625
control_points_29_r_t,266,393,62,54,42,42,42,0.945054945054945,5.200815397901022,True,,0.375,0.75,267,383,65,56,45,45,44,0.9349112426035503,5.643824188129156,True,,0.4375,0.8125,304,480,73,65,43,43,41,0.967741935483871,5.116624947859966,True,,0.5,0.625
control_points_30_r_t,542,356,119,46,41,41,39,0.9240506329113924,5.376332725084609,True,,0.5,0.5,479,353,103,32,27,27,27,0.916083916083916,5.205774495490068,True,,0.5,0.625,633,407,141,43,34,34,27,0.9139784946236559,5.896375627996253,True,,0.5,0.625
control_points_31_r_t,518,396,118,47,44,44,42,0.9673202614379085,4.781462860562621,True,,0.6875,0.6875,507,386,125,102,80,80,80,0.9403973509933775,4.941524214603539,True,,0.8125,0.625,647,480,160,137,121,121,119,0.9659090909090909,4.842397171367659,True,,0.9375,0.8125
control_points_32_r_t,268,360,58,45,25,25,25,0.9473684210526315,6.6627853243413035,True,,0.3125,0.5,270,352,46,37,23,23,23,0.9264705882352942,6.660089725813421,True,,0.375,0.5625,299,401,40,30,19,19,19,0.912751677852349,6.533090246868394,True,,0.375,0.375
control_points_33_r_t,366,389,183,172,133,133,132,0.945,4.989068805595297,True,,0.625,0.6875,360,375,168,151,109,109,107,0.9157303370786517,4.621572820175184,True,,0.625,0.6875,427,446,183,170,132,132,132,0.9716981132075472,4.761996212121423,True,,0.8125,0.9375
